darby_wmel_doxy_a	darby_wmel_doxy_b	darby_wmel_doxy_c	darby_wmel_nodoxy_c	darby_wmel_nodoxy_a	darby_wmel_nodoxy_b
cds1019	359.670419993273	93.6112317811187	518.272524829748	99.8660938781793	67.3913527906188	122.52910032465
cds102	191.934824463212	120.900694441707	182.010341704321	248.147809102619	174.298185569414	127.202244671683
cds1020	1613.08898679028	1546.62559840237	1708.64169553056	1295.8900869992	993.949069248424	1161.79168055873
cds1021	132.569879783545	67.9097960284252	78.2811125460116	215.819582973543	235.262605462746	259.19106698264
cds1022	86.7725331200979	180.265836200454	144.09119225707	110.907285694737	125.73479247509	79.3822243914085
cds1023	153.52464303983	34.0388634646294	290.510646865637	101.000523334265	43.4571337937979	78.3697396322465
cds1025	927.867192840238	1154.96526639772	720.135580646646	602.321624710162	752.833615692059	850.417184008631
cds1026	353.087465762724	238.940113041769	306.49267117598	382.297529950072	339.325911548361	372.516200429676
cds1027	475.120639007826	395.867336836431	401.895045538499	631.709588170617	258.275304955632	539.96785633318
cds1028	286.56264626948	402.445602394759	583.617641359789	318.43872805491	408.532376752569	358.686378591692
cds1029	305.372052439969	184.172086379842	262.669504294418	183.375061050449	467.339453075372	290.04156669587
cds103	815.585509150309	545.974521590849	703.806615267489	447.605484259376	315.388275439188	347.174160593092
cds1030	117.29063536193	30.4101691182565	164.616080034337	126.493467676639	88.4469174125118	58.2077122441562
cds1031	524.535087849581	821.283065033422	686.603327762993	353.726579096425	301.563393517178	371.417165772103
cds1032	353.299166488394	253.373324178424	418.883984617484	502.8814724157	348.41772756913	304.470973507189
cds1033	822.653755410186	1074.83307347847	384.072309678211	373.467487582524	518.303685200611	131.049991937523
cds1034	100.236720895195	40.4917953421022	168.591957635006	361.393405504965	279.618988230114	176.092145512291
cds1035	237.728975234074	181.467928999871	388.322228498583	564.848209551658	419.813333437103	383.048715659988
cds1036	364.247112252423	492.352232089202	547.58876257015	528.100386149246	430.826937772537	437.162948069284
cds1037	119.336607347191	76.5300359820334	189.393014569799	186.119488055107	450.32399520309	222.319997715625
cds1038	823.920770081127	860.909392279709	935.918141729297	1607.0118939897	1186.42476587884	1564.50010221129
cds1039	260.278680302967	229.833253054237	311.99433936487	493.076974040212	484.648672886188	561.579385370305
cds1040	397.408297753684	199.696303649493	378.955115793029	348.992257265975	431.227673010551	259.308298043391
cds1042	12.9040449121097	19.7114934567801	0	174.791889626593	32.25865490198	17.7852485036993
cds1044	399.261670864296	246.136024570652	385.528543401471	417.605518465408	239.097893692807	266.047982732876
cds1045	773.704091112861	749.875105018226	744.78887079491	634.552882219735	134.885257639832	649.568826800037
cds1046	846.649469333417	512.661043529521	849.889739321718	860.117577562111	621.652409029436	847.363151437289
cds1047	95.2724788791291	196.619272449616	196.907285473624	185.492339394954	176.652235710821	112.659461186451
cds1048	211.587380951318	106.669632440875	146.809893997769	439.019005388097	269.353488669423	453.333680099324
cds1049	82.6939841488079	57.3228335972922	105.094075115359	109.987152756633	144.174713812103	168.745692871224
cds105	117.394960419139	64.2660294779639	200.122016831245	223.693642128446	211.876501362279	222.704387063375
cds1050	376.40081339467	357.691851405241	377.446797643236	281.937569749592	341.70817321136	416.697213803462
cds1051	371.894117586652	193.358818211908	466.839387176434	611.733482513201	365.782967821541	413.977628534248
cds1052	626.295621725443	998.444499694476	845.482258380751	714.58006981613	805.404321214336	674.741676299063
cds1053	1628.53421043337	1260.97986200239	2003.60214001566	1370.83140304391	1349.96873015953	1100.30064321153
cds1054	578.277462432047	110.700432704873	627.672556192418	216.637510848977	47.1328546651462	210.852395088121
cds1055	1804.7417157636	970.951041266879	2223.17154427579	714.393706165929	412.967940937861	1447.21370434184
cds1056	15436.5685714762	14792.5122205121	14897.1966020087	12368.4231573254	13602.8195182373	14108.895603014
cds1057	109.667176359717	69.9465272763366	240.011270893019	186.083355364745	308.044552206844	147.762479420364
cds1058	259.64403806751	183.618499562662	257.393501935355	191.717547429722	194.744002283427	154.046558999164
cds106	94.3521563466088	269.132291370716	208.350763750652	34.8738740526975	0	57.7967454361554
cds1061	209.971080858735	89.2428985967182	249.322801181606	315.322956846516	304.036459303478	255.53094262527
