gutzwiller_wmel_embryo0to2hr_a	gutzwiller_wmel_embryo0to2hr_b	gutzwiller_wmel_embryo2to4hr_a	gutzwiller_wmel_embryo2to4hr_b	gutzwiller_wmel_embryo10to12hr_a	gutzwiller_wmel_embryo10to12hr_b	gutzwiller_wmel_embryo12to14hr_a	gutzwiller_wmel_embryo12to14hr_b	gutzwiller_wmel_embryo18to20hr_a	gutzwiller_wmel_embryo18to20hr_b	gutzwiller_wmel_embryo22to24hr_a	gutzwiller_wmel_embryo22to24hr_b	gutzwiller_wmel_L1_a	gutzwiller_wmel_L1_b	gutzwiller_wmel_L2_a	gutzwiller_wmel_L2_b	gutzwiller_wmel_L3_12hrpostmolt_a	gutzwiller_wmel_L3_12hrpostmolt_b	gutzwiller_wmel_L3_darkbluegutPS_1to2_a	gutzwiller_wmel_L3_darkbluegutPS_1to2_b	gutzwiller_wmel_L3_lightbluegutPS_3to6_a	gutzwiller_wmel_L3_lightbluegutPS_3to6_b	gutzwiller_wmel_L3_cleargutPS_7to9_a	gutzwiller_wmel_L3_cleargutPS_7to9_b	gutzwiller_wmel_WPP_a	gutzwiller_wmel_WPP_b	gutzwiller_wmel_pupae_12hrpostWPP_a	gutzwiller_wmel_pupae_12hrpostWPP_b	gutzwiller_wmel_pupae_24hrpostWPP_a	gutzwiller_wmel_pupae_24hrpostWPP_b	gutzwiller_wmel_pupae_2dayspostWPP_a	gutzwiller_wmel_pupae_2dayspostWPP_b	gutzwiller_wmel_pupae_3dayspostWPP_a	gutzwiller_wmel_pupae_3dayspostWPP_b	gutzwiller_wmel_pupae_4dayspostWPP_a	gutzwiller_wmel_pupae_4dayspostWPP_b	gutzwiller_wmel_adultfemale_1dayposteclosion_a	gutzwiller_wmel_adultfemale_1dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_a	gutzwiller_wmel_adultfemale_5dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_c	gutzwiller_wmel_adultfemale_5dayposteclosion_d	gutzwiller_wmel_adultfemale_5dayposteclosion_f	gutzwiller_wmel_adultfemale_30dayposteclosion_a	gutzwiller_wmel_adultfemale_30dayposteclosion_b	gutzwiller_wmel_adultmale_1dayposteclosion_a	gutzwiller_wmel_adultmale_1dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_a	gutzwiller_wmel_adultmale_5dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_c	gutzwiller_wmel_adultmale_5dayposteclosion_d	gutzwiller_wmel_adultmale_5dayposteclosion_i	gutzwiller_wmel_adultmale_5dayposteclosion_j	gutzwiller_wmel_adultmale_30dayposteclosion_a	gutzwiller_wmel_adultmale_30dayposteclosion_b	invert	module
cds1074	1140.22234220243	1059.98812327736	1138.97501711185	1563.56765227607	1387.29462917054	1254.55756076348	1087.3022924039	1033.21959191816	1301.37008918503	1093.72061802359	948.402690983241	1587.84104614751	1165.72668328117	1286.8103186193	1016.2203725395	1244.2414692316	1128.55071339433	1482.96049265741	1055.71441651649	1210.59908409771	930.372573243845	1241.17463328645	1017.10773591623	988.486452400693	1057.21626483298	1149.77472031055	966.259610593683	1034.17641203573	1042.73062857126	809.021552016828	766.649568173133	868.892780153356	879.238192598788	901.098858668619	871.843727854237	941.577825419454	791.581618305125	948.379089869863	971.817740936467	938.066927990075	801.357137950227	1028.73867164762	1087.58903969517	875.057086039306	1020.34396561934	877.707392014821	829.102361117315	872.533906053698	774.332470232724	900.241100642	872.40517076795	815.557045933932	807.898323994748	937.469750081772	845.462631710191	FALSE	black
cds1077	925.357487277207	954.126966177533	717.462772831738	981.807638411836	974.34828410536	984.805397285685	1086.82338952722	1273.78577961354	908.765482525983	869.679572973834	806.012894586972	574.336740124132	884.274964440074	861.687575043878	924.851834803027	1030.42800615322	1169.44480569338	806.66213126562	707.614195397874	855.980923475197	735.989210294502	1058.70988732173	756.314328743725	772.719384824593	790.590912667389	814.625800349025	625.334891896372	679.807725801635	735.100201225909	562.051157142124	643.568900829978	749.550528749646	654.89367147172	829.302627911715	685.35577765003	842.425921529537	585.74027935906	686.768720464756	712.85422740665	737.630108473499	693.423220346537	717.294163257241	820.120641653191	673.116453382118	692.1637794987	671.276930789997	577.367806467486	563.103641169694	507.044286096612	597.849006697659	604.004352841502	705.109235478719	602.182171839139	590.830110936958	635.609875521855	FALSE	black
cds1080	500.491586157081	531.140667616367	439.562555956206	472.976882802587	509.015523218038	487.013166469228	464.482713113591	448.024551957486	480.380734420243	498.819283859165	430.700136023998	457.38725070369	444.877950468671	545.951481886735	386.958872380464	318.421096902499	456.858942807198	463.289710631256	425.16730375191	495.48995820186	510.206385800893	410.860665155834	465.714830907785	476.462155353635	472.270936327129	446.922572109058	411.982729458079	420.327109292521	399.321757059676	384.601144878273	379.868813712717	351.03579602204	342.746398375372	358.884992490566	396.115396323306	373.834579825325	416.912397357925	421.720338709122	411.564612919885	354.814017233088	340.921672343317	401.278229406287	414.786104292942	379.282450631556	339.677684991433	363.877653863725	493.698895159083	342.903047734589	334.242121977039	379.390132340797	320.956860510485	383.589943026909	285.818808745694	378.750158331282	363.952370394433	FALSE	black
cds1108	2505.1856975093	2538.69111787877	2880.04111768981	2662.60299707401	2456.72225686158	2616.74202606524	2847.90920616725	3215.11992632469	2519.02445372405	2796.25629564372	2098.37931931711	2400.2783906721	2232.36879704418	1970.18146275072	1950.62904778771	1622.66010135949	1927.5014792352	1865.29390734281	1869.30877074361	2339.42156719381	1884.56989473539	2000.71009390019	2023.18364532233	2119.64718630234	1807.36490583688	1967.66530166793	1748.11041914171	1835.54491458915	1627.6991378364	1731.15621747719	1463.63223755473	1749.2221258395	1606.62324150608	1528.39105686105	1620.26078022541	1677.7113709051	1663.86836766304	1558.7662372809	1574.22977504603	1612.4827960733	1563.34793289196	1576.2681347718	1825.05636901752	1597.1239693533	1529.40097705401	1472.48138148979	1607.0022497629	1469.7562607095	1433.61678536125	1356.1045862315	1514.54211674676	1630.11263531171	1429.31829395035	1318.37748789918	1455.81052356857	FALSE	black
cds111	364.685630444988	513.2711158057	590.488656844479	515.417876225946	901.726099442247	549.828663801684	356.796723005362	297.282750610852	441.906329751946	349.256241714881	340.478166529377	541.069737704061	422.442408496263	463.880315171348	780.609881627894	719.85351641159	643.532339841624	534.930048938299	370.239762973643	641.734047237689	626.670010434706	533.756444503114	451.456659220759	580.353978957146	472.786495685515	461.536448294419	219.091262506481	568.154705802055	687.251984254861	197.050061519415	421.461085026319	329.614875261217	524.423182960332	499.247175114133	658.76259594235	535.001233706335	351.562399689242	245.426252103008	374.38559967852	425.509587077453	492.431256621373	575.160173181817	451.367580494828	316.585069277205	316.197799590205	437.238962631783	313.280909546804	372.187079593385	409.366055539811	345.62993470887	538.896851915708	451.517734442709	451.600339985624	364.610463436261	497.522334348138	FALSE	black
cds1114	613.50843068782	621.769681142413	600.323002278917	536.237060256873	856.344941499019	876.107193873384	837.513543560377	734.295114015339	649.0074615437	693.527070009812	534.8154014976	254.21056477614	542.805036994664	408.34481925971	463.927238170367	554.934638754725	843.659801271154	670.287457627507	475.604179299768	641.105993832027	498.120066181146	727.223753047306	554.558094736723	685.436481287347	577.565570295286	502.673553420534	497.169887973154	401.149935274245	479.600694533684	353.399202687693	454.963342723622	477.181506644774	402.856745617259	358.204531001376	469.410422472933	548.278609471671	470.017079167923	341.764204422105	458.816544911103	408.059319901649	379.813407918344	389.637443135041	448.561542813167	457.932589519599	408.816096437969	408.708018758565	409.079632991304	358.345774468415	347.771265876306	366.947650077839	369.347524697245	353.272687037689	397.536903579234	318.684054085155	388.905624956945	FALSE	black
cds1115	429.241022534716	456.392970838557	565.963411889061	547.56631190688	724.959450698787	819.737104831686	747.221258214474	475.312428501032	558.941873571887	469.279284533308	374.567657376505	781.426292415818	510.671849469301	398.259936947373	458.768173726331	486.514390902588	608.727465557277	680.345154709357	397.361344705001	625.650163217771	437.236925120248	681.041314357459	488.64784456386	590.053339085608	516.291322287103	465.96133402059	483.211913679995	525.871793297997	406.650904680929	496.007941960452	391.399834388351	326.370367117565	409.539468233565	321.277505813376	488.982052774311	504.215411362389	330.908589923943	412.546899001026	384.19330298543	287.665637822292	450.078934239284	441.819667637752	492.183750620659	367.160442475567	410.438858088498	343.632235376372	387.759179718586	336.624112978674	337.768646385265	331.132178473138	380.565905712158	311.64577080251	310.180731017076	311.375478869913	345.462916885772	FALSE	black
cds1119	1768.88950350693	1597.05305399429	1704.11911963459	1634.94932026499	1611.38512895018	1773.35805841225	1681.91566439182	1550.63621236122	1709.33807690107	1696.2881087533	1438.72523650571	1519.07256256256	1445.76285985584	1360.28255023342	1377.80461637785	1355.17315415921	1647.14121895723	1552.23463023349	1384.10154094051	1660.92679210196	1629.86785347465	1705.72863588124	1551.74866461788	1472.35751914628	1545.75995323367	1474.72795431312	1502.06313949818	1427.94646886306	1279.27230762797	1164.56273735569	1304.90772845565	1240.46330006485	1399.93200990676	1464.4576962565	1290.8951519176	1237.32313573433	1419.68347731885	1307.94558171832	1333.05279835254	1244.47078554599	1323.34673947536	1495.94554816237	1480.58752918227	1442.47543093966	1363.20036808445	1345.18123037293	1372.20895579244	1282.92950185685	1137.07269546343	1203.96402094382	1371.12680118957	1293.68918474631	1318.58729117045	1276.09390441406	1319.93700145175	FALSE	black
cds1124	413.336891679492	412.623163817304	347.31540859803	396.38364443546	461.34106676277	492.932695401945	294.888730002811	214.722822056583	416.322936277888	386.691819524334	428.349478506929	139.343647393941	305.025655368877	280.916201668292	387.872062806961	375.779032518891	413.323083513145	441.668119145982	263.468635086738	254.777283680019	253.572384239138	221.362458885384	289.364159422797	410.161232383598	345.394930342348	232.599822908436	300.346913385306	233.096143800402	165.770955275752	228.316295841414	251.367992746347	235.943432651474	320.626598094637	287.324708186577	263.644080115648	275.386125257499	256.243726071945	270.308687517814	304.142758345814	293.705305165799	231.962210805011	309.294968605226	301.451454639539	238.31039646752	261.362282925617	277.554128492858	167.609408361174	205.743114632035	222.018396024453	198.948734456042	269.306227745204	212.903163893966	213.30495425784	212.885206100292	222.244172283764	FALSE	black
cds1125	3054.19704513754	2833.09630987151	2830.23596461013	2994.83992354333	2437.11539034419	2296.89466348953	3001.41824405183	2854.87970754044	2826.41820240149	2906.82473195409	2334.56409613043	2965.97601308189	2508.13742863192	2495.57846420826	2930.03770509879	2733.66734852451	3442.99752053028	3003.73248852096	2389.69234480595	2641.79365242701	2386.71076504729	3058.76577265275	2243.31292151078	3036.25003554322	2493.89619405109	2238.94684455371	1963.67430751654	2213.17650295518	1737.40278999223	1964.53686585348	1808.92138223679	2158.85029416543	2149.6177425687	1973.53371904282	1808.82975986404	2453.62207105426	2038.94191984355	2402.58477357198	2144.10030886383	2063.7425614729	2433.12417096175	2186.2171428989	1934.73668567305	2019.83253408994	2000.80485423502	1967.08033664579	2190.85303134527	1920.63365368762	2196.89201954416	1981.15308750096	2137.49584853086	2312.68952503853	1958.31744464659	1678.05671860996	2009.76560477853	FALSE	black
