chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b
cds15	1080.38	963.36	425.94	1421.8	4540.64	6339.84	277.56	177.84	97.9	239.15	154.76	157.48	209.49	170.12	326.52	261.3	131.73	89.34	51843.22	211.36	28.71	60.04	22378.1	8.75	19.16	43090.47	11	18.64	97.64	66.63	80.89	60.91
cds150	36.57	699.6	362.07	830.42	3092.25	4162.17	69.1	50.59	32.6	83.08	90.65	86.7	66.45	58.89	133.99	130.83	83.39	52.08	29441.55	118.57	15.44	35.63	13360.1	8	13	18530.39	7	18	30.37	57.36	40.23	28.03
cds151	336.32	286.98	196.11	140.55	1449.77	1647.97	26.17	15.6	8.65	10.86	25	23.15	32.85	19.63	51.82	32.82	15.91	6.35	10008.39	40.29	1.5	6.73	4922.2	0	1	4212.24	3.9	6.52	9.4	19.91	10.45	9.49
cds152	349.5	270.19	282.53	290.25	2269.15	2098.79	135.81	74.28	28.4	75.62	57	54	65.89	60.45	165.05	111.92	46.15	30.23	13039.35	74.29	11	7	10814.18	6	5	7848.58	5	7	63.13	40.34	40.25	27.77
cds153	144	88	97.66	177.08	1057.07	770.69	39.41	27.73	11.55	45.99	23.54	30	24	22.5	62.36	59.06	20.27	29.75	5233.27	21.12	3	2	2327.13	2	1.5	3215.06	1	1	20	10.18	13.65	10.52
cds155	1115.66	1036.06	233.83	1401.81	4292.79	3470.16	281.01	142.38	114.1	237.19	231	255.08	311.06	292.2	562.06	384.64	241.65	128.18	53260.01	475.19	24.42	82.2	20415.97	7.01	29.86	39367.28	16.54	28.64	98.63	100.06	51.92	83.06
cds156	1951.54	2119.23	573.5	1697.07	6478.75	7685.54	372.55	199.28	133.4	264.86	287.19	304.61	301.7	294.45	628.66	498.62	430.84	299.84	149350.04	709.83	55.16	108.99	51688.29	25.83	34.52	84211.38	41.63	47.01	226.56	194.42	189.48	179.28
cds157	1308	1942.18	928.13	2262.65	13183.64	14189.37	555.23	346.58	182.1	443.43	311.92	469.28	344.36	364.39	710.19	595.67	249.71	151.45	89395.37	584.28	81.14	141.84	58346.12	27.97	55.93	62634.29	20.41	41.5	220.51	239.47	161.18	166.65
cds158	212.41	465.07	286.37	446.66	2400.94	3500.11	198.73	105.57	45.75	167.25	80.06	90.84	69.24	80.25	176.43	111.25	58.11	32.5	17829.35	176.04	2.24	7.44	8564.99	2.67	5.28	8545.93	6.64	9.38	73.12	33.99	82.31	46.16
cds159	396.43	351.6	271.86	862.85	2180.98	3183.4	166.94	124.28	39.19	143.6	55.35	51.33	63.3	51.1	129.91	97.47	46.52	26.5	21659.31	51.21	9.8	8.15	9911.04	1.14	6.19	9977.55	2.27	9.13	51.69	44.39	47.54	36.28
cds16	774.43	1042.91	94.85	389.08	1223.33	1853.56	95.57	72.63	29.36	62.05	104.11	96.01	150.14	128.46	295.92	252.53	266.98	162.1	88557.55	388.21	38.49	59.96	58404.43	24.94	25.07	58059.7	21.23	36.9	63.64	63.87	41.42	28.24
cds160	1	4.47	89.98	80.6	610.19	495.63	28.55	23.56	4.89	24.88	13.93	14.74	15.41	16.02	45.42	28.85	10.89	5.06	4403.03	18.03	0.31	4.5	2108.54	2	2	2332.52	1	1.88	8.11	2.53	8.2	4.29
cds161	409.97	1014.88	221.69	926.5	4650.06	6143.84	204.5	143.12	73.5	150.55	143.66	124.72	193.8	157.79	311.22	188.1	53.31	26.76	17788.9	96.94	8	30.67	8312.2	5	6.63	13690.47	2	9	47.42	59.89	22.81	60.19
cds162	38.98	125.46	101.93	120.54	910.66	953.45	49.1	52.65	11.11	44.37	28.83	44.34	47.59	28.44	58.96	53.57	10.66	13.92	3357.47	36.95	3	4.78	2072.15	1	3.16	2623.18	2.32	1	17.59	12.38	10.17	11.03
cds163	454.14	488.86	248.84	843.01	2627.32	3373.98	224.29	136.49	74.64	172.14	177.81	200.97	248.54	158.02	378.21	259.16	105.32	86.99	34399.67	215.51	11.49	31.06	15798.34	16.15	7.94	23491.25	15.66	15.47	56.48	60.91	49.6	57.43
cds164	6	488.65	116.88	352.5	2980.71	2406.44	165.92	136.72	46.08	139.59	93.36	132.32	73.2	132.77	195.36	156.48	38.44	35.31	16321.78	130.12	7.09	24.2	11756.08	4	4.96	12264.37	3.93	3.97	44.58	27.69	21.3	23.23
cds165	1478.67	1345.24	524.39	2306.24	6118.74	8913.49	295.08	237.73	148.76	256.02	391.85	398.15	544.53	385.04	893.3	697.12	362.04	263.23	106991.63	595.57	91.75	172.58	54451.78	46.14	50.54	77477.34	23.9	47.59	138.83	131.46	99.28	145.91
cds166	0	0.38	15.27	24.23	62.8	80.58	10.56	5.87	2.16	4.42	2.75	0.85	5.65	6.19	15.57	10.77	5.26	2.43	1029.61	6.49	0.72	1.31	759.56	0	1	1054.79	0	0	1.24	0.82	0	0
cds167	110.23	139.61	33.45	58.53	105.96	294.92	4.61	5.53	4.52	3.87	11.46	6.81	8.01	8.47	24.45	19.25	18.7	4.62	2708.7	15.38	0.18	5.06	1983.91	1	1	2701.62	1	0	0.69	2.62	3.47	4.8
