chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b
cds325	777.92	803.3	229.48	752.08	4726.47	5202.92	55.3	37.64	14.9	62.2	23.1	39.45	25.73	24.06	119.78	67.55	46.81	20.97	8744.71	51.58	15.96	28.37	7936.52	5.91	5.73	9851.97	2	12.1	39.87	47.38	31.97	21.84
cds326	195.6	209.15	33.36	153.9	1083.24	627.07	35.28	10.8	8.87	37.29	15.08	22.37	21.52	18.11	69.34	41.13	17.62	9.55	2018	15.78	3	3.44	1030.48	1	1.59	1070.81	0	0.69	16.88	9.17	20.22	8.92
cds329	1241.21	679.66	346.39	1011	4245.76	5893.75	151.09	84.74	67.5	110.17	125.5	135.94	123.78	127	255	188.75	99.43	73	43607.45	152.77	50.5	74.5	27053.52	17.5	19.2	43521.51	14	25	82.32	85	79.9	72.02
cds33	878.35	1065.69	416.91	761.12	6976.93	7925.65	257.27	190.19	83.93	255.7	235.42	325.21	244.8	273.21	987.23	735.9	708.16	384.82	168501.97	1081.44	92.12	129.03	70220.07	50.72	60.5	78803.73	60.91	97.96	239.92	324.07	180.66	238.05
cds330	526.89	378.38	302.25	1106.18	4312.68	4778.56	324.43	196.85	66.76	196.1	146.47	159.58	65.84	155.79	337.4	286.73	90.05	62.89	22415.05	196.38	25.49	39.08	14886.61	5.59	17	16595.18	10.64	12	118.09	46.77	84.07	60.8
cds332	158	866	252.26	1221.5	3470.83	5633.97	110.73	64.11	43.24	106.4	94.63	119.74	188.34	127.11	342.12	231.66	126.57	99.48	45150.73	192.69	27.96	23.5	24016.26	8	8.99	30063.46	8	9	41.26	53.67	31.96	42.19
cds333	0	2.46	5.45	113.49	68.91	70.54	1.28	2.82	0.98	0	2	1	0.57	2.87	4.43	6.22	2.69	0.71	895.01	0	0	0.51	284.89	0	0	533.14	0.48	0	0.5	2.83	1.54	0
cds334	187.47	130.95	106.36	396.95	1216.43	1503.19	44.14	28.15	12.96	38.61	30	17.9	18	21.4	61.03	53.82	27.62	15	4441.91	37.2	3	13.88	2862.05	2	2.37	3618.99	1	2	21.5	10.97	16.66	12
cds335	3327.81	3322.61	1297.94	3859.71	12548.88	15232.56	625.03	296.48	135.68	492.79	310.28	387.44	326.7	278.46	696.2	603.73	365.35	201.54	132073.02	448.81	42.52	102.53	45280.92	21.69	38.57	62847.55	23.93	39.5	390.6	230.46	286.23	215.28
cds336	239.11	118.46	219.19	454.61	2148.74	2579.89	118.65	97.3	31.06	119.15	55.82	99.08	101.06	72.23	242.14	151.1	132.94	62.87	19998.68	240.51	15.39	19	9912.08	1	8.9	12742.43	5.13	23.51	56.79	22.69	28.65	42.95
cds337	1878.77	993.12	268.19	1468.92	5654.35	7237.64	315.44	213.21	100.95	245.16	165.11	251.36	250.48	216.5	560.71	426.34	279.74	160.68	66512.7	528.91	30.84	66.66	25148.56	20.99	23.73	36289.01	14.6	34.79	153.77	112.93	113.37	93.73
cds338	4.23	363.99	38.5	103.36	582.83	933.01	63.4	26.11	20.24	52.44	24.46	30.37	27.72	31.82	82.19	55.73	46.2	27.1	9384.34	79.02	3	7	5374.38	0.45	3.84	4600.7	2	5	30.65	7.36	22.05	14.07
cds339	705.24	809.83	135.73	460.93	1522.52	2165.07	68.86	62.93	20.5	89.14	60.27	71.22	75.15	49.02	111.27	93.1	70.62	48.78	20424.59	126.88	10.98	14.48	11144.14	0.75	7.14	10172.74	3.49	6.78	35.99	41.31	41.6	24.58
cds34	220.12	403.53	60.5	400.91	2395.82	2137.73	28.26	18.33	5.65	36.32	23.61	28.44	36.44	24.9	58.74	59.64	32.87	14.04	8502.74	55.41	5.57	12.53	3684.61	1	5	5312.53	1.64	4	31.88	18.75	26.87	19.2
cds340	558.63	1152.24	334.85	809.24	2979.76	3975.19	171.92	87.02	33.8	155.24	107.27	122.96	87.69	106.15	239.33	179.24	78.78	88.95	29464.27	258.89	15.93	28.32	20538.05	7.06	17.52	16855.76	11.39	25.02	83.86	55.56	77.49	43.23
cds341	179.26	214.47	65.18	380.1	1462.54	1959.12	73.72	41.69	26.24	65.18	42.66	56.49	37.39	56.65	154.71	92.78	60.45	39.64	14089.23	96.36	22.5	19.89	9010.2	8	13.23	8885.61	3.5	8.16	50.99	32.35	36.54	24.52
cds342	61.44	30.43	82.3	340.5	1437.24	1945.51	101.74	62.23	48.44	136.75	57.28	66.95	68.63	70.55	192.31	149.37	75.85	40.08	12405.46	181.55	16.91	35.38	14804.53	7	22.06	9779.73	4	11.25	46.92	35.13	38.7	39.32
cds343	97	214.81	70.77	294.4	1415.19	844.02	47.32	24.55	6.67	27.57	21.76	36.24	21.06	28.32	132.02	87.04	38.03	43.96	14190.81	77.83	22	33.8	12668.76	11	11.23	21991.46	4.72	3.67	37.39	20.59	29.3	13.06
cds344	2	25.05	23.11	78	341.5	218.14	16.79	22	3.37	23.53	22.69	11.37	4.62	15.75	21.88	20.57	11.84	5.1	2627.28	12.19	5.61	9.08	2593.28	1.5	0	2323.79	0	0	12.18	1.62	11.58	6.28
cds346	211.5	192	19	2	367	399	10	9	11	7	16	13.5	16.66	29.49	32.41	27.62	23.5	6	3060.76	12.22	2	4	2088.7	0.5	4	3545.57	0	0	6	4	1	1.5
cds347	907.48	1057.03	445.36	742.18	5609.07	7560.42	522.18	333.08	207.33	303.37	383.24	502.03	473.38	435.12	1035.78	792.18	413.46	269.62	71075.47	532.74	67.99	129.54	55733.38	43.04	27.15	68927	19.06	36.27	203.2	199.6	132.21	158.61
cds348	17.79	246.65	30.53	105.22	930.38	1254.11	43.55	30.34	16.53	45.19	25.05	30.71	18.64	34.34	89.57	65.67	33.19	23.55	9626.65	116.22	10.5	6.2	4163.2	0	6.58	5462.79	5	14.48	22.01	14.17	20.07	3.59
cds349	128.66	733.2	102.52	562.1	1355.28	2188.01	46.26	39.4	22.55	35.99	55.51	68.79	100.11	73.45	215.42	199.19	83.77	71.19	29084.45	110.92	18.95	41.4	19175.48	10.93	15.54	20698.82	1	7.1	38.49	49.79	17.57	50.36
cds35	20.47	9.91	18.31	166.48	780.07	817.08	20.74	15.01	8.66	27.79	22.25	22.55	21.6	29.96	73.36	37.53	25.59	21.94	5303.12	67.27	7.43	12.44	4198.13	1	1.01	3834.4	1.89	4	30.25	11.24	15.91	8.77
cds350	313.82	230.5	51.94	236	627.18	609.91	9.5	5.99	10	17.11	15.5	11	19	11.44	30	32.5	23.03	20.69	7303.94	28.82	1	15.42	3926.2	2	4.97	4568.87	3	2	15.85	4	16.34	10.42
cds352	698.5	1080.81	559.24	2246.47	8932.91	11414.45	390.86	342	139.45	524.62	200.12	312.42	233.74	281.61	683.53	503.96	403.44	224.62	104517.98	628.45	62.46	91.19	37939.74	18.45	30.98	59962.23	43	58.15	181.13	100.85	93.73	92.75
cds353	707	387.54	116.9	323.31	1671.13	1672.3	26.76	13	5.18	23.37	15.24	22.44	25.89	17.28	61.59	40.33	47.81	37.39	10892.73	45.64	15	16.38	5036.37	2	3.13	6135.65	1.98	2.88	31.54	32.64	31.24	18.51
cds355	236.49	442.62	139.34	398	2200.75	1700.36	66.85	37.66	8.3	62.71	32.3	31.52	46.74	53.33	111.98	78.18	33.85	27.86	15031.4	69.04	8	4	6186.16	1	1	9492.63	4.94	7	50.56	26.77	31.59	17.7
cds356	89.77	281	183	837.11	2298.63	2675.95	103.27	64.94	33.37	79.17	48.79	72.93	71.19	61.59	167.73	136.66	46	33.01	14568.2	97.98	22	22	8893.09	4.9	3.81	11414.53	3.67	8	32.18	24.86	20.81	31.48
cds357	850.05	588.03	559.55	1112.54	5717.21	7154.75	337.02	236.42	165.48	332.76	343.76	357.51	345.76	320.88	839.19	617.35	415.3	318.36	107574.95	691.02	108.11	169.81	58229.93	49.19	53.68	71642.64	50.57	70.54	185.41	156.39	127.73	171.2
cds358	1205.95	2668.19	547.23	2113.42	10207.31	12632.72	343.59	213.28	114.19	288.53	212.69	283.5	283.19	205.67	438.83	381.43	193.26	124.81	80661.69	288.23	33.14	88.77	46410.63	14	19.4	48748.62	17.79	27.32	168.87	197.14	143.88	129.51
cds36	0	25.71	15.83	72.27	45.15	208.4	7.24	3.71	1.95	3.5	1.8	5.9	7.93	4.06	16.28	7.47	13.27	3.82	2041.79	14.2	0	0	712.24	0	0.13	1043.21	1.26	0.97	4.61	3.49	10.3	4.64
cds361	105.61	79.11	63.17	59.19	608.46	1574.58	48.91	35.82	34.39	35.75	21.33	28.48	21.67	31.12	86.2	60.34	34.77	42.33	9011.71	55.36	5.56	12	7210.02	4	2	7414.96	4	1	25.47	17.23	14.09	18.9
cds362	194.33	907.19	278.91	871.48	3693.33	3609.98	319.37	155.22	51.24	173.77	186.26	201.81	177.88	210.32	567.79	393.04	524.28	299.48	20101.93	1378.48	163.86	323.43	17230.52	93.5	127.5	25576.85	45	64	78.06	48.12	48.31	27.26
cds364	533.97	1185.24	312.5	1412.23	3747.58	4727.54	199.27	141.4	105.38	194.78	153.74	176.71	124.31	127.42	267.23	211.23	106.11	55.6	35632.32	148.84	28.38	64.25	19922.3	12.5	20.5	35519.1	8	21.32	78.15	97.36	62.09	55.07
cds365	129.73	390.29	105.51	174.12	1394.98	1612.85	99.36	55.1	29.65	82.41	59.32	58.67	67.41	66.46	148.28	115.5	86.02	35.12	13429.4	141.22	15.91	26.36	5431.07	4.19	15.41	7134.64	6.47	15.84	53.6	30.23	29.98	31.3
cds367	0.75	40.95	5.28	0	310.19	273.39	16.82	17.97	4.88	14.93	16.89	5.89	9.05	17.16	29.15	25.71	10.36	2.2	1514.31	8.66	0	6.61	1337.05	0	1.38	1300.88	1	0	5.56	1.82	5.6	2.52
cds368	344.12	331.62	199.66	501	2893.01	2895.03	175.58	121.51	57.03	190.89	45.62	56.77	72.01	59.95	180.87	103.43	81.86	44.94	26107.54	138.83	13.6	19.86	13726.53	5.56	2.95	11982.73	4.11	11.93	57.54	72.3	46.94	63.21
cds369	658.65	133.6	214.82	598.61	2541.75	2900.99	253.94	188.1	83.34	186.28	148.54	182.97	149.41	195.69	427.15	281.23	188.3	132.72	45331.86	310.6	25.74	44.9	15854.27	10.88	12.69	21887.53	25.08	26.11	76.75	31.33	61.37	50.8
cds37	2183.13	2625.5	1672.4	4437.18	16930.22	21042.3	739.33	406.91	305.6	435.56	849.08	836.27	861.8	780.14	1799.44	1470.64	582.35	456.66	190603.43	698.62	114.4	164.73	102212.71	51.13	40.33	162224.73	28.97	35.67	294.93	342.92	226.63	232.15
cds373	278.5	121.5	138.31	755.86	3377.49	3098.5	211.66	189.96	62.07	170.52	117.74	143.36	64.5	98.58	268	190.99	76.24	74.74	20734.97	216.74	19	13.41	13427.33	11	12.5	15687.76	10.17	9.95	68.78	32.28	44.97	47.03
cds374	169.57	222.61	23.38	168.63	559.8	819.3	21.68	23.35	2.96	22.46	20.06	15.78	17.78	14.52	65.93	26.95	12.56	9.36	6134.2	32.14	1	5.26	3602.65	1	1	3669.6	2.25	0	12.59	8.73	7.5	8.27
cds375	553.69	1226.08	367.02	1049.34	4690.81	6453.57	821.16	407.09	169.76	443.57	657.74	853.42	437.38	913.41	2165.74	1471.66	1526.47	1040.1	23362.15	3045.77	446.98	708.66	15903.86	438.74	240.36	16893.99	130.42	220.14	116.61	60.44	85.1	87.69
cds376	3135.94	3907.31	1155.24	4572.8	14143.64	16478.3	797.21	538.35	226.85	600.91	575.52	650.09	550.5	666.01	1336.42	1114.78	407.64	284.66	80295.85	750.2	74.71	124.58	36335.91	28.99	35.24	52074.93	23.6	51.45	239.67	228.93	107.09	256.55
cds377	1088.99	1953.83	486.61	1213.77	6714.51	8714.33	661.9	368.93	152.5	419.72	488.97	528.06	424.41	582.65	1320.74	1026.53	481.53	373.23	78756.68	790.46	97.01	131.48	39785.29	36.44	42.45	56329.55	38.34	68.51	215.58	167.5	88.36	147.53
cds378	322.44	203.73	121.84	463.2	1265.56	1350.48	86.16	49.37	29.46	64.62	41.78	80.99	70.2	50.13	131.98	120.87	73.54	59.25	17980.49	140.14	14.8	32.41	14884.52	8.61	10.85	15452.86	9	11.29	49.3	44.4	47.01	28.13
cds379	498.01	393.71	151.11	602.21	1219.38	1268.79	42.21	28.08	8.97	41.45	23.06	17.3	21.79	29.41	50.08	44.84	27.31	18.63	16429.12	52.18	9.26	9.14	6499.42	1.8	1.81	7295.61	6.6	5	30.18	20.8	16.02	19.96
cds38	0	0	5.2	22.72	129.3	94.48	19.78	13.32	5.71	19.49	28.91	26.56	21.21	18.92	65.84	51.67	12.14	6.01	1985.72	15.54	4.19	0.37	1656.32	2.87	0.75	2240.22	0	0.53	1.81	5.94	2.08	3.54
cds381	74.46	257.17	24.51	159.19	698.3	1194.13	103.48	90.35	34.77	76.68	58.4	52.21	58.68	62.23	191.15	115.51	23	26.84	7234.11	49.81	3.68	16	5365.18	4	5	6839.49	2	0	21.92	14.62	19.29	19.59
cds382	674.21	846.96	431.49	791.41	5140.58	6439.91	431.2	318.58	133.71	377.11	264.45	337.55	130.23	312.17	655.4	497.11	296.82	189.2	22979.4	680.18	62.33	98.56	15712.54	53.49	31.81	19650.29	20.18	38.24	109.21	73.37	83.95	98.01
cds383	1056.39	857.77	403.49	1448.46	5928.46	8331.77	172.48	101.76	43.44	154.78	89.78	125.55	97.42	115.8	260.06	245.7	93.44	59.32	32442.95	159.61	12.66	30.36	16888.01	3	8.66	18069.72	10.91	12.53	102.52	63.25	77.91	57.2
cds384	3092.29	2691.01	1140.23	3879.16	14300.85	18030.84	599.6	426.45	249.1	557.19	552.75	582.84	472.09	508.38	1073.27	946.72	453.03	349.55	181326.84	725.39	105.75	195.83	68775.43	35	70.47	115464.34	42	85.58	234.63	261.83	194.63	164.13
cds385	341.24	421.77	219.95	570.99	2541.9	3198.19	145.86	90.95	32.09	125.34	62.74	75.31	74.06	75.47	172.81	130.16	61.14	21.85	22948.44	52.16	3.58	10.55	10746.57	0.61	3.51	12491.39	2	7.87	55.61	25.85	43.71	34.19
cds387	534.42	201.69	258.41	655.27	3968.73	4117.09	224.2	179.23	60.08	204.75	97.68	107.63	75.62	130.58	306.27	216.92	63.22	38.94	15285.29	176.71	9.9	20.44	9587.28	9.58	10.2	11299.4	4.82	9.42	71.95	65.07	44.25	74.24
cds388	1223.68	1560.09	1186.3	3827.27	18460.03	19707.62	745.5	541.68	217.71	737.8	467.57	478	473	529.51	1106.06	787.7	273.2	158.49	76708.04	706.7	52.36	90.65	31995.18	15.23	55.04	54442.62	16.11	36.61	252.24	162.25	156.3	150.71
cds389	995.36	829.32	433.04	1292.81	5563.3	7088.72	138.27	107.97	106.12	177.65	146.03	151.63	183.02	147.83	394.89	322.59	131.21	87.74	44727.09	272.64	36.94	41.46	11529.6	8	9.81	26551.27	12.48	22.3	60.56	90.82	47.07	67.83
cds39	1	4	8	2	148.82	68.55	16.57	6.25	5.85	4.43	9.81	6.96	7.87	7.73	25.55	27.78	7.19	8.68	2001.51	8.02	1.11	4.66	1244.17	2	3.1	2630.17	0.65	0	4.3	1.66	0.37	3.29
cds390	366.5	386.28	389.83	1204.8	4496.38	6227.11	102.83	72.97	51.58	72.58	114.86	136.01	148.92	146.69	350.62	238.18	116.11	63.31	27193.63	150.45	11.74	15.36	9320.37	6.5	10.01	12274.94	7.41	7.57	46.19	43.81	28.41	28.44
cds391	21.25	37.58	142.54	649.15	2680.16	3796.33	145.97	114.03	42.11	222.75	82.2	88.52	31.92	78	211.34	175.14	38.19	26.36	14155.49	201.98	6.69	12.29	9234.89	7.03	7.74	9587.94	8	7.61	65.7	46.31	51.59	49.32
cds392	161.47	328.84	302.74	950.29	3997.32	5546.73	269.43	219.63	62.28	224.15	168.1	195.56	105.71	178.37	391.44	319.35	94.48	59.75	20004.07	274.55	21.71	29.24	12079.75	4.6	10.86	13557.77	5.26	13.79	46.47	44.29	41.9	45.14
cds393	833.06	269.54	276.95	1545.27	4167.74	5603.42	82.5	45.85	42.38	88.07	70.7	108.5	91.15	111.66	249.01	200.03	81.38	52.67	36611.34	290.19	12.66	25.87	18681.23	14.44	16.35	23536.26	10.21	27.68	58.5	81.56	24.83	43.33
cds394	939.3	1345.03	392.91	1644.76	7934.89	9341.58	45.48	27.47	25.04	31.64	96.99	105.63	103.29	141.43	296.73	217.41	85.29	54.84	47213.04	132.58	11.9	22.45	25921.51	6.84	13.9	32622.24	6.3	12.72	34.99	144.16	27.08	53.67
cds395	601.48	625.79	411.69	1644.01	6870.17	8119.45	179.71	97.32	72.87	165.81	82.99	98.82	84.72	118.16	244.83	224.8	74.71	38.51	49413.93	182.62	13.87	40.99	20261.75	6.98	14.29	29910.03	5.48	16.03	89.23	81.99	67.75	92.29
cds396	1100.69	735.97	640.34	2497.51	8979.51	10351.25	318.04	203.58	106.44	265.27	235.54	218.85	233.05	287.72	531.03	461.28	143.08	78.29	57490.91	351.01	19.17	32.35	27488.45	11.27	11.7	33196.5	9.88	20.87	120.6	93.95	112.52	73.88
cds397	687.61	629.84	303.75	2155.1	6424.64	8439.54	292.17	179.12	80.54	274.08	158.17	207.01	185.25	209.37	399.5	351.45	87.38	75.07	38244.83	241.85	30.08	26.65	21918.54	6.11	12.1	20347.35	7.23	16.89	112.1	125.05	104.14	88.69
cds398	533.06	893.09	389.84	1687.38	5000.15	7370.87	294.16	192.49	70.8	228.02	138.54	159.53	106.05	155.4	328.91	266.43	84.53	65.02	43163.97	234.13	18.16	18.61	36264.87	12.73	22.24	25923.07	8.43	16.93	143.38	121.42	89.94	113.52
cds399	868.48	2330.19	897.82	2382.83	10465.39	13451.58	434.22	270.33	140.18	427.64	258.11	282.04	268.65	318.11	648.58	523.3	160.24	112.65	71035.67	515.61	25.45	56.32	35887.79	19.48	26.09	40847.57	18.52	39.88	218.25	188.2	181	150.73
cds4	1425.13	1369.4	628.76	1764.98	9613.4	12985.26	624.07	414.09	196.76	426.49	482.44	425.78	484.89	434.46	1015.31	745.61	247.59	152.17	36754.7	352.08	62.55	70.88	21145.58	21	24.38	30738.88	13.41	19.76	121.41	97.15	72.63	146.97
cds40	174.5	442.27	176.86	316.05	1158.05	1449.95	72.87	38.81	26.49	77.21	43.03	44.4	66.83	45.35	165.92	115.12	101.68	77.68	24753.58	268.31	6	27.38	16572.22	7.64	9.99	13017.37	12.99	21.92	54.82	28.53	25.63	29.69
cds400	1190.27	1176.15	640.93	2169.75	7260.71	9971.48	199.73	167.63	92.42	180.28	154.35	162.89	192.54	179.31	374.14	315.77	72.5	44.79	40564.28	150.55	12.72	15.01	21181.2	5.13	16.81	20401.47	5.67	16.81	100.19	111.68	93.28	86.74
cds401	1442.79	1404.82	749.01	2725.5	9676.67	12830.4	276.54	223.6	114.37	222.51	213.75	247.17	288.25	280.87	641.36	518.92	134.03	112.55	70057.37	264.21	31.77	51.19	39325.26	9	20.3	43177.76	9.65	25.09	183.96	212.58	118.1	191.12
cds402	678.74	974.13	438.96	1798.5	5466.22	6892.89	166.42	99.11	55.73	107.06	119.12	126.85	123.97	130.72	316.39	263.88	76.51	61.42	40250.72	171.85	12.17	24.99	19816.67	4.21	6.11	23606.08	4.75	11.77	95.48	98.36	63.34	75.75
cds403	612.04	1132.11	382.4	1314.29	4958.95	5495.94	66	31.73	29.84	46.17	40.47	44.96	47.36	50.55	111.31	134.53	39.16	28.62	44033.13	86.14	2.17	10.81	20157.23	3.87	5.9	24151.83	3.59	6.89	43.23	67	36.66	49.75
cds404	1969.39	1549.38	775.94	3058.77	10095.75	10204.67	109.48	71	63.19	52.99	169.14	196.64	221.13	240.46	473.62	446.96	231.06	158.22	97333.41	407.68	82.74	117.15	61773.15	35.6	49.45	69133.67	18.46	35.31	94.75	197.53	53.11	105.49
cds405	321.73	325.26	477.21	2058.6	6704.25	9650.66	79.39	42.49	47.5	68.05	54.55	61.91	64.63	93.05	189.2	172.09	43.36	36.59	38434.44	129.92	13.35	28.13	28353.13	14.26	14.45	24899.36	6.26	13.43	50.11	100.1	33.45	40.7
cds406	903.67	640.54	312.79	813.75	3456.1	4345.73	118.4	50.82	76.41	124.09	45.32	80.7	28.11	84.44	197.24	160.76	34.97	28.28	16604.05	126.4	18.76	33.38	8287.62	0.11	4.52	9747.69	4.21	9.18	25.1	28.51	22.6	34.74
cds407	485.51	970.46	729.44	2338.65	9676.54	10720.06	564.89	460.14	173.09	616.92	214.37	250.84	253.8	255.88	593.34	437.06	263.21	121.05	76308.46	650.67	63.12	95.64	50478.12	26.65	27.47	76632.42	12.57	33.53	302.42	191.51	229.51	111.6
cds408	2554.8	3356.7	1244.57	4652.93	19627.98	23841.58	430.26	285.14	199.53	338.63	517.15	499.5	505.99	627.62	1298.98	1050.02	314.36	244.47	127744.72	622.12	94.29	148.83	64822.8	37.07	66.6	93961.59	25.55	44.48	195.77	287.27	82.93	232.45
cds409	529.56	280.26	184.72	541.62	2956.28	3491.08	53.76	48.64	22.49	36.43	17.68	22.4	21.81	24.77	69.06	78.16	8.89	5.94	9847.3	29.86	1.43	4.15	4343.05	0	0	6161.68	0	0.86	34.66	18.12	27.11	15.4
cds41	543.01	266	278.71	770.19	2758.97	4386.27	149.37	94.57	52.12	101.67	98.35	97.89	119.32	99.8	266.55	195.8	81.73	59.09	29601.93	116.65	16.11	23.26	17651.71	7	17.54	26359.01	9.52	10	69.49	56.19	42.6	40.8
cds410	1135.25	701.85	444.81	1352.24	7137.1	9893.88	298.87	206.24	132.69	259.21	159.58	152.36	154.61	177.64	363.21	326.82	62.45	53.17	27810.16	238.06	11	22.3	15358.46	2	5.92	14497.3	9.27	10.13	93.42	59.51	55.41	73.15
cds411	1545.25	2222.46	831.7	2394.51	11012.37	14355.76	500.07	355.83	155.52	394.62	230.23	225.26	241.51	316.23	632.87	510.57	152.37	100.78	64881.03	436.66	47.88	81.11	27019.83	25.27	30.52	46996.34	16.7	32.04	147.61	111.05	91.93	104.8
cds412	318.9	1017.75	337.63	1576.14	7438.33	10133.1	185.17	115.05	53.42	189.84	80.75	118.22	82.68	130.7	283.44	248.87	80	58.72	35805.11	195.69	13.7	19.08	27947.05	4.24	12.68	18964.21	13.9	17.32	60.86	45.15	49.71	77.11
cds413	1215.78	1609.94	622.89	1983.91	9345.63	12131.19	75.08	45.4	39.73	57.56	85.08	92.54	90.57	109.81	201.8	159.43	87.59	62.49	65034.9	127.96	18.87	39.22	55924.78	6.16	18.49	50961.63	5.69	30.49	46.61	115.21	31.93	57.1
cds414	4399.47	5859.23	3007.63	9961.42	39966.88	51628.05	1356.57	1016.74	658.26	966.34	1155.77	1194.32	1089.98	1408.24	2878.8	2338.3	518.17	386.4	168734.9	1060.48	141.32	285	104680.25	34.15	74.46	154685.25	39.11	99	334.85	483.4	252.55	408.34
cds415	1364.73	2213.9	846.88	2698.41	8874.02	13002.87	268.59	201.19	144.27	196.71	288	265.47	317.7	351.48	692.33	600.57	102.39	77.34	35924.42	258.43	18.91	51.65	23685.62	9.05	10.02	21918.46	4.59	16.7	82.57	137.47	50.35	132.22
cds416	2243.24	1311.62	671.65	3260.54	10824.55	14398.78	623.73	358.6	347	470.95	576.55	618.57	691.08	693.14	1577.51	1227.97	420.82	272.85	81019.41	885.05	88.88	171.39	61282.14	66.12	67.47	68791.02	26.05	49.42	131.05	209.38	77.21	193.84
cds422	146.68	275.4	139.42	388	1840.7	2905.67	49.79	21.2	17.65	57.72	49.67	66.83	52.52	86.27	129.17	82.83	36.5	28.99	15878.56	124.66	14.48	12.98	11493.75	7.36	6	10937.34	2	12.84	32.16	30.35	14.27	31.16
cds423	246.65	971.8	397.71	1827.54	30442.94	34852.87	996.91	564.65	440.19	1454.72	847.24	1049.03	622.23	705.73	988.2	1264.69	1123.69	952.81	541620.95	2111.35	321.16	520.24	647275.91	190.03	191	384795.17	45.86	61.51	419.77	379.52	231.6	234.97
cds424	2184.1	2763.97	2790.08	9812.61	153618.7	166860.19	1673.4	960.31	1086.43	1766.04	2347.68	2796.5	1524.38	1991.8	3124.1	3300.2	1737.96	1976.11	756890.43	2748.99	755.58	1409.69	626763.61	350.55	340.13	964133.97	39.77	107.28	363.71	556.29	283.45	719.15
cds425	7.49	8.39	65.89	37.29	537.72	979.46	43.95	12.33	32.67	16.88	62.59	50.31	69.38	42.56	113.44	121.46	49.11	52.01	23674.14	62.79	8.39	21.35	14422.39	4	1.36	24292.23	1	1	15.79	11.65	10.67	16.89
cds429	520.75	417.8	31.86	86	1320.78	1568.26	78.03	36.72	22.9	38.49	50.97	47.44	35.5	45.17	90.81	77.67	29.69	28	8999	56.9	6.41	14.54	7162.55	0	4	9257.44	3	2.81	17.52	9	26.24	11.75
cds43	166.25	2.24	0	91.95	73.24	37.12	10.2	12.44	4.81	9.67	5.45	8.34	2.05	6.63	11.15	9.6	3.94	3.33	1502.83	1.94	0.27	0.45	781.56	2.54	0	1280.93	0	0	2.84	0	6.13	2.53
cds432	1317.95	263.07	242.6	819.55	4621.74	6868.34	465.23	351.1	149.44	398.73	249.56	280.88	302.27	299.91	655.25	488.71	282.48	204.11	89438.92	411.97	55.87	69.27	67259.93	20.03	24.89	72518.6	19.44	31.55	191.43	138.96	99.03	151.69
cds433	901.46	655.53	420.64	1355.02	6600.62	9515.11	439.11	289.79	121.82	297.63	260.19	310.22	341.59	281.67	666.71	479.77	245.51	161.26	58246.21	324.28	31.26	50.15	23663.03	15.33	15.54	30696.44	22.27	21.33	163.27	93.73	100.52	96.75
cds434	570.35	409.4	154.95	580.7	2640.16	2728.39	128.9	63.28	35.36	67.03	95.9	91.02	125.68	80.2	195.88	158.37	77.27	53.26	24488.25	121.08	5.37	10.8	9165.97	9.69	11.23	12651.07	4.37	8.97	59.8	25.87	45.39	22.18
cds435	118	344.82	93.94	212.23	1223.41	1331.69	46.77	24.4	15.67	53.67	22.2	36.72	31.95	32.51	47.87	35.45	29.6	24.3	13827.44	65.01	10	8.48	7602.89	4	6	6370.64	4.55	7	23.43	15.32	17.44	12.52
cds436	46.42	29.25	60.56	295.76	1206.63	2608.7	104.93	77.11	20.14	65.97	48.26	72.5	47.73	44.12	149.15	107.74	19.89	12	3351.08	42.32	1	4	1951.11	5	2	3443.53	1	0	17	6.22	10	7.76
cds438	0	72	2.21	14.49	47.67	59.59	10.29	2.45	3.48	4.86	7.27	8.4	1.39	8.18	10.43	5.79	6.33	2.09	1320.15	2.39	0.38	0.45	801.17	0.76	0	1153.51	0	0	1.09	0.06	3.18	1.63
cds439	977.64	727.19	403.13	1232.18	5035.5	7361.01	263.16	158.89	119.13	186.07	197.38	190.7	224.41	195.29	471.81	339.44	137.28	100.62	37636.64	206.9	25.53	75.49	26831.99	14	16	35279.68	10	23.38	92.69	79.65	74.77	84.56
