darby_wmel_doxy_a	darby_wmel_doxy_b	darby_wmel_doxy_c	darby_wmel_nodoxy_c	darby_wmel_nodoxy_a	darby_wmel_nodoxy_b
cds399	105.12	58.69	69.43	37.61	27.25	54.34
cds4	37	13.84	19.2	10.45	10.08	12.38
cds400	1065.3	803	651.04	394.98	249.15	480.61
cds401	80.67	46.38	41.51	48.61	30.84	58.62
cds402	80.94	102.18	60.93	33.81	17.5	36.87
cds403	299.33	86.92	187.41	109.5	65.73	114.52
cds404	26.16	19	25.63	23.28	31.87	24.27
cds405	9.58	1	9.47	9.72	13.11	12.36
cds406	5.73	5	7.65	7.21	7.42	6.22
cds407	54.94	30.5	25.63	16.9	16.79	24.43
cds408	8.77	0	2.12	1.81	0	0.89
cds409	90.44	65.17	49.36	61.95	37.74	35.81
cds410	1541.88	1300.71	1017.62	603.11	417.16	1131.35
cds411	54.49	13.36	28.38	22.92	16.21	15.25
cds412	9.74	6.61	9.55	10.65	6.98	21.88
cds413	11.72	3.56	13.43	13.36	10.02	11.87
cds414	2.82	0	3.19	9.25	1.11	1
cds415	0.47	0	0.24	0	0.07	0
cds416	154.17	210.32	90.54	39.22	41.54	56.52
cds417	56.98	28.54	26.17	30.61	16.4	14.56
cds418	7.5	3.5	8.69	5.75	3.64	2.8
cds419	4	1.53	2	3.15	1	1.74
cds420	26.9	8.76	11.84	21.72	10.42	14.39
cds421	19.37	8.39	8.34	11.32	5.26	15.22
cds422	12.97	1.25	5.91	16.76	4.23	7.22
cds424	20.84	17.31	23.05	20.08	7.17	23
cds425	3.49	0.71	1.24	0	0.7	0
cds426	24.92	8.4	20.79	20.68	9	18.5
cds427	73.01	42.39	38.78	21.15	7.5	20.01
cds428	19.6	5.21	11.74	14.79	8.74	12.92
cds429	19.93	22.3	33.15	13.36	6.19	7.96
cds430	503.53	370.68	262.51	185.15	172.77	277.45
cds431	148.1	56.4	113.78	85.35	35.75	88.32
cds432	816.23	437.02	474.46	298.1	144.35	485.42
cds433	32.45	39.4	52.18	13.48	17.46	21.26
cds434	133	167.17	74.12	32.2	45.25	101.69
cds435	92.19	68.26	64.17	44.41	34.64	46.14
cds436	3.21	4.93	5.11	4.28	2.44	4.4
cds437	53.83	30	54.39	59.54	30.09	66.64
cds438	3.25	0	4.06	0.7	1.06	3.32
cds439	150.95	105.39	103.01	43.36	27.61	49.95
cds44	2.36	0.53	8.68	0	0	6.78
cds440	119.89	60.25	59.3	44.22	20.51	30.46
cds441	29.85	13.41	9.56	9.09	14.71	18.04
cds442	85.65	33.5	55.61	58.04	21.28	64.99
cds443	27.67	12.9	21.69	25.39	20.73	40.8
cds444	7.8	6.59	9.67	3.29	5.7	1.13
cds445	10.15	3.54	14.13	9.96	3.11	11.32
cds446	24.02	14.08	12.19	13.37	10.49	20.8
cds447	7.05	6.27	11.17	6.48	2.5	8
cds448	27.08	11.38	21.49	19.53	6.04	25.77
cds449	55.58	38.01	31.95	21.06	14.86	31.57
cds45	12.42	15.66	8.92	19.04	6.28	12.04
cds450	93.02	49.08	40.1	49.46	22.16	28.9
cds451	196.69	85.39	91.02	74.58	36.46	72.77
cds452	22.57	3.84	9.34	3.5	4	9.72
cds453	127.35	72.78	111.39	75.45	35.53	66.87
cds454	179.77	120.49	101.55	55.56	33.28	104.05
cds455	113.45	128.74	68.19	16.08	25.37	34.03
cds456	58.31	33.71	28.43	8.77	5.22	13.25
cds457	301.2	199.53	202.98	101.13	81.65	269.62
cds458	30.05	10.16	11.49	19.68	24.15	27.68
cds459	96.3	49.22	49.96	45.02	30.43	46.83
cds46	371.58	291.5	245.52	153.13	115.14	185.1
cds460	33.87	44.38	19.95	19.28	18.22	28.26
cds461	15.18	4.92	12.08	5.2	4.83	6.75
cds464	6.98	8	12.34	15.15	11	20.49
cds465	35.51	23.25	10.81	10.14	4.37	12.98
cds466	34.5	12.27	21	20.69	15.93	25.61
cds467	258.65	89.73	140.89	104.91	68.85	153.59
cds47	12.9	12.48	16.64	26.47	19.18	20.5
cds470	0	0	0	0	0	0
cds471	0	0	0	0	0	0
cds473	0	0	0	0	0	0
cds474	0	0	0	0	0	0
cds475	0	0	0	0	0	0
cds476	0	0	0	0	0	0
cds48	57.57	22.41	14.09	16.59	9.09	14.16
cds482	10.14	4.83	6.15	8.43	1.57	10.77
cds483	0	0	0	0	0	0.88
cds484	0	0	0.1	0	0	0
cds486	15.1	4.07	17.22	12.59	13.43	17.34
cds487	226.05	208.28	131.11	57.85	24.18	180.28
cds488	38.57	26.26	21.65	15.52	13.44	10.83
cds489	16.93	10.5	10	12.45	7.82	10.86
cds49	24.23	12.71	16.38	5.81	4.87	3.19
cds490	21.05	6.55	15.25	8.69	4.31	9.58
cds492	42.13	19.6	29.84	9.29	10.21	13.45
cds493	51.41	23.45	46.1	26.57	9.51	12.91
cds494	91.62	25.43	62.23	50.87	20.4	64.66
cds495	237.25	144.86	151.11	143.57	94.15	170.98
cds496	79.93	23.3	29.41	8.87	13.06	30.29
cds497	54.58	34.87	51.18	35.6	19.34	40.57
cds498	24.64	24.93	27.49	3	1	11.7
cds5	131.88	53.37	89.16	75.91	31.14	98.55
cds50	55.04	22.91	44.42	23.28	12.21	35.89
cds501	33.32	7.66	15.99	15.17	13.27	23.95
cds502	0.5	0	1.71	0.32	0.96	4.41
cds503	40.89	25.73	19.66	14.77	11.19	15.69
cds504	54.75	32.22	30.93	29.54	14.02	42.82
cds505	145.32	107.63	89.97	70.44	67.9	90.27
cds506	22.47	21.01	14.82	30.13	28.62	44.36
cds507	15.65	3.61	7.68	11.81	5.4	5.07
cds509	44.88	21.13	34.53	27.35	25.89	42.73
cds51	67.75	41.71	43.27	61.74	42.12	66.11
cds510	147.45	83.08	121.06	96.29	62.9	115.28
cds512	98.14	55.92	84.04	25.99	23.11	24.83
cds513	66.66	37.08	30.74	16.43	7.32	11.1
cds514	10.48	15.32	0.33	1	4.47	4.35
cds515	0	0.2	0.56	0	0	0.44
cds516	0.28	0	0.03	0.19	0	0
cds517	13.96	9.69	16.99	14.01	11.81	7.93
cds518	64.18	49.34	32.64	14.41	11.73	20.3
cds519	166.81	66.33	68.42	30.77	22.14	110.74
cds52	68.89	51.81	70.36	76.35	42.61	89.73
cds520	90.91	47.98	59.74	55.52	29.45	35.2
cds521	14.35	3.5	22.65	9.31	5.83	23.43
cds522	261.98	220.18	176.66	99.12	94.64	220.48
cds525	1.65	0.3	0.2	4.28	0.03	0.26
cds527	7.5	8	10.23	10.22	10.08	14
cds528	3.54	2.99	3.4	2.65	2.65	3.34
cds529	6.22	17.15	6.65	4.75	5.66	5.53
cds53	0.26	0	0.86	0	0	0
cds530	23.42	4.91	21.54	16.86	5.16	21.53
cds531	10.75	3.89	8.19	14.37	3.83	11.58
cds532	15.69	1.12	6.82	5.96	3.7	11.17
cds534	11.3	6.47	6.56	18.86	2.24	18.48
cds536	56.26	71.95	48.06	35.41	21.44	65.52
cds537	4.55	4.46	7.54	11.11	11.89	10.05
cds539	6.8	2.64	13.88	7.1	3.54	18.1
cds54	0	0	0	0	0	0
cds540	16.87	5.31	18.07	23.48	18.12	37.22
cds541	3.02	0.64	4.86	0.57	1.87	5.11
cds542	28.81	8.31	21.32	18.65	22.34	28.2
cds543	30.61	25.71	33.51	42.17	15.61	39.44
cds544	16.06	16.89	5.48	17.19	6.08	17.14
cds545	22.46	17.12	40.29	45.65	24.05	40.19
cds547	2.11	3.57	8.71	6.21	2.87	5.86
cds55	4.6	0.9	1.07	2.78	1.1	0.9
cds551	12.9	2	5.81	8.84	13.48	10.9
cds552	4.66	5	1.36	3	3.38	2.3
cds553	43.35	96.38	27.49	21.52	11.17	25.79
cds554	28.19	9.64	32.29	20.86	11.47	34.84
cds555	2.95	2.35	7.52	5.03	4.74	9.43
cds556	28.89	4.44	35.16	33.58	21.31	44.48
cds557	72.39	37.15	60.47	80.6	49.48	99.53
cds558	2.02	0.58	0.4	3.76	1.6	3.2
cds559	603.32	398.45	249.34	113.84	97.07	177.61
cds56	198.74	158.58	104.58	104.33	61.7	202.82
cds560	141.37	83.93	61.46	55.8	21.12	36.24
cds562	18.57	2	8.02	32.47	14.04	23.34
cds563	2.53	15.18	2.71	5.51	1.67	4.32
cds564	24.88	8.05	24.43	24.56	13.54	34.53
cds565	12.53	3.1	4.23	13.33	4.54	8.79
cds568	21.24	25.15	13.2	4.39	4.39	7.84
cds569	71.99	25.75	58.09	73.81	36.68	86.81
cds57	157.88	75.16	119.51	55.66	55.1	34.14
cds570	112.65	48.82	66.25	34.92	32.91	47.94
cds571	8.65	1.1	9.22	18.97	7.95	10.21
cds572	780.08	552.95	390.85	454.58	340.95	587.78
cds573	321.56	122.24	146.49	125.46	41.37	71.43
cds574	210.84	45.33	81.36	61.99	47.01	39.15
cds575	68.3	40.49	34.05	49.36	8.5	19.18
cds576	41.18	23.37	28.15	17.6	11.36	34.4
cds577	20.84	22.77	18.19	8.41	6.7	8.05
cds578	54.62	18	31.49	29.04	18.36	29.17
cds579	40.29	8.55	16.48	14.64	24.77	49.3
cds58	234.77	120.42	108.44	33.14	27.54	21.18
cds580	39	5.05	11.7	23.31	10.33	14.67
cds581	24.54	5.61	18.6	8.97	2.48	15.1
cds582	29.36	6	15.29	16.27	14.9	14.02
cds583	43.11	29.45	24.89	32.63	16.25	43.24
cds585	18.27	2.18	7.71	18.39	13.79	12.82
cds586	26.73	10.63	23.63	5	7	22.39
cds587	121.7	88.68	95.65	66.68	48.18	101.58
cds588	17.64	12.66	11.94	6.03	5.07	14.4
cds589	245.88	139.42	131.07	112.04	49.46	173.48
cds59	558.19	299.74	258.33	112.14	104.19	128.3
cds590	739.75	323.9	432.3	896.88	647.46	863.02
cds591	257.55	181.59	150.05	154.45	143.17	257.35
cds592	1940.79	1180.45	1399.68	1109.61	701.41	1432.6
cds593	43.79	33.91	44.19	43.66	26.71	51.57
cds594	6.24	8.92	11.52	21.49	12.51	23.92
cds595	15.52	2	19.95	26.49	16.77	25.96
cds596	20.06	6.83	25.96	30.55	15.31	30.52
cds597	25.5	19.05	31.51	44.08	26.99	46.99
cds598	16.53	24.35	14.89	30.2	26.71	47.5
cds599	14.36	5.87	8.16	15.2	6.48	17.9
cds6	25.44	13.43	32.44	21.22	11.83	27.34
cds60	270.04	201.47	139.02	71.4	74.84	60.51
cds600	8.78	6.89	8.95	9.88	8.92	9.2
cds601	34.04	10.86	10.97	20.12	22.14	28.25
cds602	26.58	11.35	6.14	17.57	10.82	23.43
cds603	9.41	6.3	15.89	13.16	9.9	29
cds606	0	0	0.46	0.97	0	0
cds607	1.76	0	1	0	3.6	1
cds608	13.33	4	4.58	12.53	7.84	11.21
cds609	51.97	28.6	39.69	42.43	18	56.3
cds61	46.33	21.9	35.16	18.92	10.63	26.04
cds610	316.75	241.23	163.58	33.24	25.13	115.58
cds611	226.74	202.89	154.33	43.39	35.49	161.54
cds612	18.06	20.5	16.9	9.49	10.96	13.53
cds613	55.67	26.34	53.26	26.55	10.18	49.52
cds614	329.88	287.37	218.01	97.17	47.19	188.42
cds615	253.86	101.23	160.97	107.66	56.76	108.52
cds616	68.42	65.84	34.25	18.94	9.86	18.36
cds617	20.04	11.94	25.38	4.69	2.18	3.41
cds618	146.45	76.35	91.65	51.66	15.37	67.46
cds619	331.81	124.79	154.17	77.03	21.04	85.95
cds62	12.34	17.54	8.48	16.23	6.03	17.08
cds620	223.79	182.78	156.76	60.51	35.83	71.87
cds621	797.77	669.37	419.7	208.06	166.56	448.95
cds622	33.92	13.82	28.41	27.21	16.72	26.3
cds623	70.03	30.5	30.61	33.19	21.69	24.21
cds624	86.96	28.31	55.36	36.73	18.69	5.62
cds625	68.24	19.51	55.69	50.78	14.9	24.42
cds626	41.6	12.98	42.69	24.69	16.81	20.25
cds627	85.62	43.31	65.74	29.32	33.69	25.31
cds628	92.16	24.65	45.43	6.88	7.01	12.2
cds629	42.73	17.88	31.06	2.97	3.06	8.26
cds63	1.27	1.22	5.05	2.62	0	0.56
cds630	54.63	23.16	42.3	17.03	8.14	8.02
cds631	110.65	41.35	68.31	23.89	12.5	20.3
cds632	142.03	91.72	81.28	44	24.67	45.87
cds633	85.05	51.07	53.24	14.53	12.02	42.61
cds634	93.9	52.89	45.16	22.72	15.07	18.58
cds635	237.76	154.39	158.51	55.94	37.63	168.14
cds636	143.43	67.3	97.12	32.58	20.71	42.54
cds637	94.26	34.38	58.35	12.13	4.86	18.72
cds638	121.8	72.68	70.29	8.73	8.03	10.05
cds639	337.63	237	266	148.94	96.61	185.89
cds640	87.41	11.14	36.37	4.8	4.82	11.48
cds641	88.56	42.64	58.41	26.07	33.94	9.76
cds642	99.07	82.07	101.48	44.18	15.93	76.06
cds643	86.23	44.9	69.1	23.74	17.16	29.6
cds644	617.02	331.02	371.88	178.56	145.67	343.44
cds645	56.94	18.75	39.13	19.06	10.01	15.37
cds646	341.28	182.79	205.57	240.94	145.41	378.73
cds647	118.03	87.69	85.76	29.27	18.76	83.65
cds648	44.88	26.4	30.57	37.54	26.5	41.12
cds65	1.03	0	0	2.26	1.21	1.15
cds650	438.04	245.5	208.74	209.34	129.61	219.74
cds651	22.31	17.85	22.23	19.52	4.55	19.38
cds653	1.39	0	0.61	0.07	0.52	0.33
cds654	20.66	22	6.94	6.42	7.44	23.1
cds655	97.53	67.55	88.97	61.57	31	108.76
cds656	26.12	19.09	22.18	31.42	28.84	43.03
cds657	4.18	0	3.78	0.12	4.35	5.24
cds658	6.65	4.01	10.5	9.47	7.87	19.45
cds659	7.56	17	10	19.33	11.74	18.47
cds660	11.57	6.78	8.28	16.3	10.28	8.08
cds661	28.54	7.12	17.19	16.76	11.01	21.85
cds662	580.6	262.94	235.32	198.71	176.65	186.91
cds663	15.41	8.86	5.72	3.69	0.75	0.73
cds664	54.46	27.45	32.2	18.37	28.35	40.48
cds665	185.46	144.82	94.57	82.04	49.79	254.37
cds666	41.75	17.34	15.48	21.81	10.91	17.59
cds667	34.21	3	19.96	26.71	32.42	42.84
cds669	28.88	16.69	22.64	13.77	9.47	14.5
cds67	6.26	1.38	4.18	2.96	1.45	5.05
cds670	165.42	187.53	96.97	61.51	47.74	82.56
cds671	23.77	15.76	23.3	29.12	27.11	34.48
cds672	8.48	3.06	5.95	4.99	1.35	3.11
cds673	65.29	56.23	45.39	31.92	26.96	32.51
cds674	24.36	6.67	16.98	11.31	11.23	45.74
cds676	0.31	0.87	1.48	0.89	2.2	0
cds677	30.07	25.95	41.27	33.4	31.78	48.77
cds678	25.02	9.84	25.08	21.24	11.72	20.14
cds679	18.78	11.52	16.79	29.74	11.42	18.73
cds68	32.1	10.78	19.34	6.99	3.2	10.17
cds680	1719.41	942.54	844.29	1099.28	848.47	1549.64
cds681	604.97	434.57	329.72	132.6	74.1	174.54
cds682	14.97	6.48	16.24	9.49	3.65	16.61
cds683	0.62	1.29	0	0.26	0	0
cds684	2.48	0.57	2	0	0.42	0.77
cds685	96.48	53	43.4	39.92	27.8	12.94
cds686	39.83	14.77	14.91	6.79	3.14	13.04
cds687	102.49	36.14	51.24	35.08	13.96	53.78
cds688	88.22	33.12	28.91	26.76	8.46	26.38
cds689	29.53	28	24.47	12.8	8.5	33.42
cds69	15.16	8.48	14.84	13.23	12.24	26.52
cds690	69.79	13.38	48.66	85.59	48.78	121.91
cds691	30.04	19.11	26.83	32.75	32.35	35.66
cds692	52.76	15.43	38.59	16.53	8.51	19.03
cds693	46.14	17.96	29.72	27	13.5	21.43
cds694	54.56	57.98	20.46	34.08	12.54	44.04
cds695	98.74	57.82	52.68	56.58	29.1	46.61
cds696	210.39	139.78	107.51	152.46	100.18	167.8
cds697	6.88	6.77	9.86	3.22	5.68	3.93
cds698	122.46	87.61	79.66	76.71	37.21	119.81
cds699	33.09	28.16	35.64	32.67	23	33.23
cds7	60.34	32.71	38.02	45.65	39.81	61.3
cds70	0	0	0	0	0	0
cds700	87.44	73.07	58.5	18.82	29.4	42.13
cds701	66.79	42.69	59.65	31.54	26.94	41.14
cds702	841.58	314.87	487.47	388.81	308.7	526.3
cds703	11.45	8	8.19	9.73	8.79	13.3
cds704	1	1.79	0.84	3.18	2.44	1.76
cds705	0.63	4.55	3.02	2.35	1.72	6.97
cds706	163.65	90.58	77.14	45.61	39.19	110.71
cds707	100.91	52.43	57.97	70.84	48	52.82
cds708	9.71	9.67	11.82	5.58	10.15	12.56
cds709	5.3	1.21	1.23	2.1	1.79	2.59
cds71	0	0	0	0	0	0
cds710	605.14	492.32	357.16	189.68	167.08	369.75
cds711	75.37	24.9	51.07	53.24	26.9	98.61
cds712	158.77	92.85	80.9	79.45	50.72	125.99
cds713	27.85	18.57	34.2	17.28	5.65	63.1
cds714	81.52	45.11	33.08	20.12	7.07	17.46
cds715	10.67	4.09	11.98	5.99	3.01	5.38
cds716	115.38	81.55	71.15	57.35	38.29	80.16
cds717	97.16	46.25	50.48	58.77	33.02	34.24
cds718	47.14	19.66	32.49	23.36	9.54	12.76
cds719	13.98	11.21	13.95	11.36	18.58	7.64
cds72	0.15	0.62	0.49	0.19	0	0.56
cds720	13.11	13.08	4.97	8.73	8.31	25.07
cds721	16.96	21	11.59	1	1.72	2
cds722	13.26	6.9	13	16.61	13.61	29.78
cds723	23.99	10.36	20.23	11.19	7.65	29.92
cds724	25.15	18.07	27.67	25.21	8.76	43.29
cds725	39.98	19.6	31.66	39.23	17.52	43.68
cds726	12.46	9	19.7	15.81	6	26.56
cds727	7.9	6	9.5	7.38	2.2	8.06
cds728	22.07	3.5	11.67	15.46	12.88	37.4
cds729	64.99	56.13	30.99	20.08	18.32	83.73
cds73	75.42	40.13	36.12	39.78	20.22	25.68
cds730	25.75	9.14	21.52	16.36	15.33	22.13
cds731	59.82	27.27	68.73	73.62	36.07	79.95
cds732	62.07	29.83	30.56	34.98	14.68	22.48
cds733	111.23	48.81	94.42	88.37	51.13	86.77
cds734	227.88	157.73	169.92	51.3	34.69	119.44
cds735	49.06	21.99	34.36	12.08	4.59	10.1
cds736	58.79	28.71	28.83	12.97	1.48	6.62
cds737	2.87	1.43	3.07	0.39	0	0
cds738	44.27	26.94	29.61	30.64	17.35	34.21
cds739	8.96	3.66	5	11.76	5.09	6.4
cds74	8.15	28.7	6.7	7.9	5.6	7.08
cds740	54.99	29.18	26.77	27.51	12.25	20.9
cds741	16.92	11.5	7.77	9.71	7.38	10.3
cds743	106.62	45.5	66.9	64.39	41.06	72.51
cds744	2.47	2.63	0.99	0	2.61	1.74
cds745	12.12	6.98	9.44	2.5	4.61	3
cds746	395.83	257.03	191.84	119.72	80.83	249.42
cds747	36.2	35.92	43.97	8.7	8.74	40.64
cds748	73.76	40.5	54.78	50.87	30.89	83
cds749	607.11	264.39	320.21	158.73	106.63	311.31
cds75	28.65	19.5	7.2	9.49	4.33	13.59
cds750	141.52	67.09	79.82	26.25	10.42	72.58
cds751	85.71	51.3	59.56	75.16	38.7	147.17
cds752	59.64	26.94	20.22	19.52	6.19	20.5
cds753	14.11	6.67	12.93	17.48	7.27	8.72
cds754	32.33	46.17	22.72	10.27	10.56	45.52
cds756	56.95	33	24.98	36.74	31.11	30.85
cds757	11.16	7.94	25.93	20.04	14.91	40.15
cds758	107.62	53.45	72.53	86.69	49.65	75.49
cds759	5.87	1.12	5.86	1.04	7.81	4.84
cds76	43.01	36.07	39.05	36	34.67	37.76
cds760	25.55	19	15.27	14.94	15.78	20.12
cds761	48.31	16.69	29.93	17.14	10.23	22.88
cds762	5.81	7.79	8.28	3.44	0.16	8.48
cds763	4.66	10.39	12.31	1	5.72	8
cds764	15.45	8.77	15.11	3.35	8.32	4.31
cds765	217.36	111.4	108.19	78.67	43.86	154.32
cds766	7.23	1.61	8.78	11.61	6.5	9.32
cds767	3.1	5	2.87	6.03	1.57	6.13
cds768	37.59	7.58	24.38	36.41	24.19	61.07
cds769	3.24	3.12	1.81	1.46	1.53	2.51
cds77	0	0	0	0	0	0
cds770	3.87	0	0.95	3.78	1.01	7.63
cds771	57.15	66.77	36.6	64.48	24.69	37.62
cds772	74.02	34.04	31.08	16.87	16.46	18.76
cds773	207.99	130.57	213.25	255.25	186	250.87
cds774	25.17	23.63	10.72	7.01	6.85	38.1
cds775	159.95	84.5	139.78	32.02	18.4	73.43
cds776	68.97	17.83	80.86	22.62	9.85	17.25
cds777	119.7	79.01	108.12	50.4	40.48	55.26
cds780	4654.17	3028.3	2305.53	3487.12	2381.16	4586.48
cds781	7279.23	3504.92	4647.49	7042.91	4251.25	8269.96
cds782	70.97	50.62	62.55	52.79	35.7	67.47
cds783	5.27	0.45	0.95	5.03	4.58	1.57
cds785	5.13	2.95	2.77	5.03	3.44	7.26
cds786	3.22	1	0.91	0.53	1	0.47
cds787	33.85	6	9.57	9.91	2.12	7.59
cds788	114.78	20.94	40.39	21.59	10.97	23.25
cds789	4.96	3.22	1.38	1.51	2.95	0.79
cds79	200.1	108.08	99.68	75.37	45.64	84.85
cds790	131.32	96.5	84.57	40.14	41.84	51.67
cds791	22.05	0	5.21	4.64	7.05	7.85
cds792	0.53	1.16	2.76	1.06	1.19	0.04
cds793	17.99	10.59	10.1	16.51	7.99	4.5
cds794	160.11	110.6	72.56	22.96	13.23	47.99
cds795	182.54	55.17	109.31	120.5	70.64	121.5
cds796	125.8	62.52	111.41	89.98	46	93.16
cds797	75.52	39.58	57.51	80.25	33.92	126.09
cds798	215.19	90.54	158.27	153.84	77.68	136.44
cds799	140.07	91.44	124.23	81.82	68.78	63.35
cds8	134.64	68.91	105.48	202.06	125.45	179.91
cds80	30	17.96	26.82	18.65	8.5	18.5
cds800	24.51	12.12	24.04	13.72	9.6	7.19
cds801	72.45	64.5	50.7	35.77	14.64	48.88
cds802	0.18	0	0	0.06	0	0
cds803	53.09	41.54	56.97	55.93	20.5	69.76
cds804	31.34	39.24	39.61	28.07	8.21	69.97
cds805	242.24	188.44	137.44	55.12	65.43	114.99
cds806	256.83	198.98	146.09	54.07	69	139.33
cds807	39.86	36.17	37	19.89	16.25	33.57
cds808	45.71	18	33.22	29.51	14.7	36.74
cds809	2.99	0.94	0.65	1.75	1.36	1.73
cds81	26.26	32.31	16.41	10.07	11.31	14.66
cds810	157.45	156.21	105.57	59.98	52.47	106.94
cds811	115.92	96.75	66.5	51.68	22.36	73.76
cds812	175.68	100.97	95.09	18.83	40.7	59.43
cds813	178.81	188.11	139.1	18.51	18.53	58.77
cds814	92.22	42.73	47.85	50.53	43.7	107.72
cds815	0.97	0.21	0	0.39	0.47	0.85
cds816	0	0	0	0	0	0
cds817	4.82	3.54	3.61	4.46	6.66	10.34
cds819	1.5	0	2.25	0.56	0.62	3.41
cds82	21.96	8.5	22.54	26.93	9.5	28.57
cds820	0.13	0	0.43	0.19	0	0.99
cds821	29.46	21.9	13.7	15.43	10.31	14.55
cds822	156.95	118.12	102.75	82.32	29.25	75.28
cds823	310.23	204.81	131.86	214.6	102.64	207.95
cds826	19.52	5.21	19.34	17.52	7.15	14.49
cds827	22.76	16.28	18.8	22.58	8.41	23.03
cds828	10.27	7.49	5.51	7.1	6.1	3.57
cds829	77.3	39.04	73.78	66.22	37.61	52.27
cds83	15.49	19.05	11.72	8.95	6.01	11.16
cds830	61.19	27.34	50.42	70.02	25.8	56.13
cds831	519.09	490.13	297.24	403.74	313.97	497.4
cds832	169.64	101.12	110.89	93.43	63.77	105.9
cds833	51.91	14.71	19.57	8.78	5.72	16.02
cds834	93.77	20.66	74.81	21.57	18.65	43.37
cds835	54.22	25.75	61.81	26.49	21.57	24.08
cds836	51.74	24.2	40.44	24.76	35.08	31.82
cds837	117.37	74.62	76.99	48.82	45.27	36.16
cds839	6.69	11.33	14.72	2.42	0.66	3.54
cds840	4.73	1.69	5.74	1.73	1.53	4
cds844	0	0	0	0	0	0
cds845	2.24	0	0.63	0.56	0	1.05
cds846	193.21	200.01	88.58	92.95	80.09	89.57
cds847	344.17	353.71	156.41	198.9	178.75	204.93
cds848	542.88	218.89	305.86	234.37	167.96	273.74
cds85	30.1	3.64	9.29	11.72	6.18	15.42
cds854	65.48	42.59	34.75	53.41	33.1	57.8
cds855	141.83	57	87.23	102.77	55.41	142.03
cds856	62.95	39.47	46.04	67.78	70.18	35.51
cds857	207.51	96.76	149.45	113.82	60.89	148.57
cds86	8.99	3	6.25	10	2.5	18.82
cds862	307.97	178.35	157.44	157.02	118.2	149.6
cds863	17.77	19	14.66	32.95	11.45	42.34
cds864	81.08	34.68	61.67	36.03	31.73	49.66
cds865	7.39	5.85	15.85	0.36	2.82	5.6
cds866	289.17	141.23	238.65	199.57	147.08	384.21
cds867	141.71	93.61	79.05	51.17	26.17	59.6
cds868	222.41	220.42	215.19	49.57	31.85	151.63
cds869	128.67	153.89	82.85	20.81	20.83	59.12
cds87	46.68	10.75	21.11	33.02	10.45	22.28
cds870	3.45	1.2	1.6	3.14	0.12	9.03
cds874	7	1	3	7.09	6.91	13.93
cds875	17.04	5.01	4.19	5.4	1.53	10.29
cds876	17.87	1.92	18.67	14.58	8	15.44
cds878	1.61	5	4.19	2.13	2.09	4.26
cds879	146.09	132.25	89.71	84.29	51.11	84.88
cds88	11.91	8.44	5.39	6.72	1.65	2.74
cds880	36.16	46.22	40.54	29.17	24.99	88.19
cds884	0	0	0	0	0	0.9
cds885	0.42	0	1.88	0.2	0	0.18
cds886	59.08	24.29	43.42	40.79	19.55	26.68
cds887	75.08	33.17	31.68	29.63	19.29	15.18
cds888	1549.85	975.48	721.49	1232.08	891.72	1115.91
cds889	20.5	2.26	12.69	6.82	4.17	9.87
cds89	6.61	2.78	7.95	8.28	5.04	7.63
cds890	23.5	2.06	15.42	6.73	7.27	3.09
cds891	66.02	65.58	47.77	45.98	30.67	47.81
cds892	96.7	51.93	73	16	9	67.33
cds893	6.28	1.24	1.79	3.97	2.21	3.76
cds894	11.98	7.16	5.37	7.79	7.84	12.1
cds895	75.5	42.79	56.8	48.22	24.38	39.83
cds896	176.59	76.55	84.87	75.84	44.58	102.53
cds897	2.21	1.35	1.21	0.01	0.6	0.84
cds898	17.85	20.29	20.57	15.99	9.21	19.08
cds899	37.49	8.4	15.23	13.07	10.95	7.6
cds9	47.39	17.06	39.95	28.66	14.85	36.38
cds900	18.68	14.06	18.6	10.23	2.56	7.66
cds902	158.26	60.47	124.53	89.78	42.6	88.77
cds903	1.15	2.63	3.01	1.19	2.34	4.9
cds904	54.74	39.2	19.79	28.73	11.2	24.8
cds905	8.72	4.95	13.14	8.98	7.16	9.84
cds906	122.13	43.41	86.67	96.14	45.31	81.27
cds907	106.26	45.69	85.29	127.19	53.57	102.36
cds908	43.52	23.49	19.82	30.17	10.88	17.32
cds909	14.1	11.4	15.52	18.67	5.85	18.69
cds91	53.04	17.26	71.67	52.9	30.15	60.65
cds910	0.86	1.89	6.71	1.9	2	3.82
cds912	10.09	2.4	8.69	4.54	3.58	3.22
cds913	63.16	57.67	47.36	61.11	37.19	60.18
cds914	105.68	65.47	89.17	74.75	20.48	69.26
cds915	29.27	11.56	23.3	11.29	14.46	40.8
cds916	203.33	82.14	76.23	85.95	45.45	128.7
cds917	8.1	4.52	3.67	5.13	2	0.87
cds918	117.63	89.03	57.32	22.11	7.77	34.04
cds919	28.05	20.9	24.2	31.41	18.27	38.88
cds92	144.22	43.15	92.6	88.5	58.17	95.09
cds920	58.04	23.56	28.59	38.68	22.47	55.77
cds921	67.65	92.65	31.88	20.6	16.54	13.54
cds922	16.82	25.41	8.11	25.6	11	14.2
cds923	261.49	251.66	162.03	142.26	68.3	199.67
cds924	273.67	160.35	153.86	83.16	52.92	157.82
cds925	15.13	18.72	18.32	9.19	6.13	7.26
cds926	13.3	6	7.75	6.05	8.69	11.94
cds927	362.21	214.96	223.79	211	161.62	242.09
cds928	71.75	80.38	54.63	27.97	13.1	58.97
