gutzwiller_wmel_embryo0to2hr_a	gutzwiller_wmel_embryo0to2hr_b	gutzwiller_wmel_embryo2to4hr_a	gutzwiller_wmel_embryo2to4hr_b	gutzwiller_wmel_embryo10to12hr_a	gutzwiller_wmel_embryo10to12hr_b	gutzwiller_wmel_embryo12to14hr_a	gutzwiller_wmel_embryo12to14hr_b	gutzwiller_wmel_embryo18to20hr_a	gutzwiller_wmel_embryo18to20hr_b	gutzwiller_wmel_embryo22to24hr_a	gutzwiller_wmel_embryo22to24hr_b	gutzwiller_wmel_L1_a	gutzwiller_wmel_L1_b	gutzwiller_wmel_L2_a	gutzwiller_wmel_L2_b	gutzwiller_wmel_L3_12hrpostmolt_a	gutzwiller_wmel_L3_12hrpostmolt_b	gutzwiller_wmel_L3_darkbluegutPS_1to2_a	gutzwiller_wmel_L3_darkbluegutPS_1to2_b	gutzwiller_wmel_L3_lightbluegutPS_3to6_a	gutzwiller_wmel_L3_lightbluegutPS_3to6_b	gutzwiller_wmel_L3_cleargutPS_7to9_a	gutzwiller_wmel_L3_cleargutPS_7to9_b	gutzwiller_wmel_WPP_a	gutzwiller_wmel_WPP_b	gutzwiller_wmel_pupae_12hrpostWPP_a	gutzwiller_wmel_pupae_12hrpostWPP_b	gutzwiller_wmel_pupae_24hrpostWPP_a	gutzwiller_wmel_pupae_24hrpostWPP_b	gutzwiller_wmel_pupae_2dayspostWPP_a	gutzwiller_wmel_pupae_2dayspostWPP_b	gutzwiller_wmel_pupae_3dayspostWPP_a	gutzwiller_wmel_pupae_3dayspostWPP_b	gutzwiller_wmel_pupae_4dayspostWPP_a	gutzwiller_wmel_pupae_4dayspostWPP_b	gutzwiller_wmel_adultfemale_1dayposteclosion_a	gutzwiller_wmel_adultfemale_1dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_a	gutzwiller_wmel_adultfemale_5dayposteclosion_b	gutzwiller_wmel_adultfemale_5dayposteclosion_c	gutzwiller_wmel_adultfemale_5dayposteclosion_d	gutzwiller_wmel_adultfemale_5dayposteclosion_f	gutzwiller_wmel_adultfemale_30dayposteclosion_a	gutzwiller_wmel_adultfemale_30dayposteclosion_b	gutzwiller_wmel_adultmale_1dayposteclosion_a	gutzwiller_wmel_adultmale_1dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_a	gutzwiller_wmel_adultmale_5dayposteclosion_b	gutzwiller_wmel_adultmale_5dayposteclosion_c	gutzwiller_wmel_adultmale_5dayposteclosion_d	gutzwiller_wmel_adultmale_5dayposteclosion_i	gutzwiller_wmel_adultmale_5dayposteclosion_j	gutzwiller_wmel_adultmale_30dayposteclosion_a	gutzwiller_wmel_adultmale_30dayposteclosion_b
cds1016	259.78	202.05	236.44	87.79	397.33	297.73	279.54	114.66	402.44	318.33	402.16	36.93	334.9	293.59	134.89	102.47	155.9	91.07	268	235.17	320.69	279.62	450.98	187.12	392.71	243.65	328.95	202.06	226	81.76	204.77	112.94	426.97	162.42	193.03	171.34	555.76	303.77	476.66	255.42	198.52	440.55	483.1	668.55	591.74	467.53	277.27	865.1	280.13	652.8	476.68	216.13	224.79	574.08	605.01
cds1017	8.94	2.49	6.8	3.59	7.37	3	6.59	0	12	6.07	5.32	0	8.6	2.88	1.5	0.62	0.85	1	6.66	12.78	8.42	9.39	12.85	2.98	8.61	6.9	8.4	7.78	5.4	4.2	5.32	2.63	3.38	4.83	8.1	3.74	11.49	8.6	8.36	4	4.46	20.86	8.73	21.6	15.22	10.78	9.88	16.67	7.59	14.38	10.79	10.76	6.38	15.25	15.87
cds1018	24.92	20.24	25.7	9.3	68.2	45.6	43.94	10.16	41.42	42.69	52.42	5.51	26.81	17.43	17.53	8.35	7.74	7.91	26.45	25.23	31.68	38.49	45.28	20.32	43.37	27.99	32.26	17.68	17.1	5.9	20.25	8.94	46.43	14.41	18.38	22.41	45.7	20.51	50.9	18.23	23.69	36.35	55.72	78.74	59.3	42.26	17.09	96.32	29.9	59.92	37	19.06	16.66	67.87	66.16
cds1019	51.48	30.78	64.86	39.84	135.61	128.45	70.16	16.22	100.79	80.99	103.02	11.54	61.5	45.36	28.03	31.27	32.26	22.82	60.46	50.16	72.48	48.57	133.79	50.83	95.31	62.68	54.42	37.83	43.37	15.58	39.12	21.67	75.69	30.2	40.04	45.46	103.31	51.33	87.49	37.41	38.1	79.75	114.79	152.75	113.32	84.79	50.98	158.59	58.29	112.92	92.72	36.57	33.7	152.71	143.35
cds102	76.9	54.49	51.22	24.82	109.66	98	98.92	29.29	144.36	90.02	138.25	14.91	105.83	67.6	39.73	35.26	66.38	36.5	80.66	56.75	77.73	79.58	147.7	52.06	141.49	79.13	97.05	49.66	64.26	35.59	62.01	31.86	113.59	34.33	67.58	68.03	130.89	85.93	152.19	59.87	61.37	114.91	145.35	196.95	164.93	116.2	78.64	252.32	75.89	198.97	132.27	48.92	49.84	179.8	188.24
cds1020	648.18	504.72	640.96	318.5	1181.95	818.26	852.07	298.28	1238.88	871.34	1161.33	110.82	857.34	764.17	368.54	306.1	455.02	303.3	576.4	460.49	749.42	543.49	1088.41	317.87	866.33	590.48	756.12	395.15	476.36	221.83	448.14	240.77	805.87	265.21	429.5	426.97	1211.1	618.93	1054.82	459.26	442.72	773.22	1006.52	1545.19	1068	937.62	588.05	1728.06	545.33	1299.39	870.66	381.64	389.02	1380.58	1256.7
cds1021	5.09	3.18	1.6	9	5.06	7.65	10.16	0	6.25	5.26	5.39	2	3.42	6.51	3.53	0	0.94	1.79	2.7	5.94	2.4	0.57	7.53	4.95	9.08	0.01	6.67	5	1.92	2	0	4	7.61	2.87	2.42	4	8.55	3.59	8.08	2	4	5.66	5.57	8.01	9.13	7.6	7	10.49	7.69	8.01	5.07	5.56	5.87	7.53	10.56
cds1022	19.06	9.59	16.3	3.89	21.14	14.53	11.47	13	23.39	18.04	18.44	0	16.83	18.88	9.13	3.98	6.48	5.57	21.37	7.62	22.56	9.87	34.44	12.19	18.31	16	13.59	7.51	4.5	7.34	9.07	4.5	18.76	7.16	11.38	5	28.68	12.58	24.87	7.39	6.44	18.62	25.71	42.08	15.9	27.15	8.86	34.85	14.45	31.4	20.23	5.81	8.9	44.86	32.5
cds1023	8.44	3.05	5.44	0	2.43	17.48	5.01	4	14.5	9.62	18.06	3.35	43.46	35.57	22.9	16.79	5.05	5.91	33.82	8.17	48.99	15.98	79.09	27.1	43.34	27.66	34.92	28.01	27.28	9.66	51.41	26.01	87.47	30	22.08	23.5	38.6	27.82	25.79	13.08	9.84	22.62	29.5	40.12	40.74	50.48	45.99	71.21	27.36	48.09	39.54	14.54	11.29	51.37	55.64
cds1025	92.27	63.54	90.29	38.23	129.37	78.82	105.37	13	159.02	113.92	194.87	7.94	108.32	93.07	27.55	27.28	31.82	24.94	124.06	92.72	148.42	105.47	169.47	71.78	157.96	93.43	120.2	99.58	105.91	39.03	109.2	57.72	187.5	81.41	94.09	91.8	268.37	176.51	242.32	200.2	171.69	248.4	214.34	404.85	314.56	232.28	155.16	498.73	248.99	474.12	349.73	160.07	172.85	549.64	477.62
cds1026	33.3	27.08	31.94	13	60.6	32.19	39.82	6.69	51.08	40.09	51.23	11.09	35.82	36	29.91	15	24.94	17.37	34.37	27.21	43.44	35.71	67.87	21.87	49.61	27.95	43.97	23.36	34.69	10.5	31.85	13.5	44.21	20.74	23.42	29.19	66.61	41.61	68.32	23.7	23.02	60.56	59.15	85.71	62.17	63.27	36.41	108.19	52.54	89.68	63.67	29.15	20	93.01	85.65
cds1027	49.21	41.11	48.1	22.24	102.8	53	62.9	14.88	86.89	86.52	83.04	4.22	71.14	60.83	29.13	19.86	30.84	25.29	64.95	34.23	61.33	62.87	99.83	30.31	78.91	50.63	50.98	34.42	45.65	22.1	23.71	21.71	61.31	35.4	43.79	28.33	98.77	66.22	114.47	47.4	55.2	94.13	85.5	134.42	95.5	87.15	55.68	155.73	67.94	136.62	110.49	56.05	34.42	135.11	125.62
cds1028	26.81	21.96	14.71	16.34	52.49	33.79	29.6	27.71	53.25	45.2	52.22	9.97	40.53	33.79	22.42	12.82	22.47	12.16	27.2	25.54	34.11	37.51	62.67	17.79	42.08	34.32	32.82	17.43	23.06	6.05	18.38	9.2	47.64	12.99	19.38	21.41	50.68	33.88	59.99	33.79	30.56	52.63	41.22	73.08	60.91	49.5	23.43	90.62	34.19	70.52	56.56	26.12	27.9	66.42	80.93
