chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b	invert	module
cds364	628.607693428565	1095.73165198512	759.982635068171	1060.20781138628	677.777423768033	694.956255329161	673.8840858141	747.982859603433	1124.00264463022	844.963504441691	793.690645032828	810.520711716686	563.348014560103	586.446065576339	518.786596031814	528.995300740662	512.402556745849	378.513512609571	534.003955278693	413.009972847568	660.297931928184	814.15137415694	549.082365115658	613.43542597446	814.915510748358	783.387192555254	496.413621007957	770.651661072996	617.527960271679	885.28633212396	717.97676715963	564.691479288482	FALSE	orangered3
cds383	3647.94711007286	2326.1096217601	2878.37809293672	3189.72682377731	3145.13649183955	3592.69993691446	1710.97411998244	1578.99499052466	1359.12804127312	1969.56287557564	1359.58199075759	1689.20020208829	1295.03123773984	1563.36524529093	1480.94357051166	1804.94008024338	1323.57702742601	1184.59298440286	1426.20557089741	1299.15925723946	864.017758988197	1128.48349847347	1365.330886519	431.85853988602	1009.80619907497	1169.0345714965	1985.81995523883	1328.56683484291	2376.28025201989	1687.03907306285	2642.67254726354	1720.49575095122	FALSE	orangered3
cds395	2763.80693180498	2258.13656278646	3907.93779352537	4817.41097924187	4849.83927638516	4658.78366971198	2372.13390107115	2009.40747353409	3033.76254244813	2807.55314337246	1672.29859846834	1769.17794318612	1498.58135592791	2122.68052316913	1855.20473472564	2197.43581394789	1408.17745332822	1023.30192610927	2890.50314340355	1977.93899277253	1259.58558982599	2027.37283495913	2179.70966070481	1337.02010856648	2217.24981979524	2574.86841122932	1327.26590249176	2261.66416717154	2752.08734538628	2909.96494250539	3057.88893488789	3693.80938714224	FALSE	orangered3
cds396	3445.8933241163	1809.38919577637	4141.31487966845	4986.16649597606	4318.79707217601	4046.58835643347	2860.21709491626	2863.85694352023	3019.17285654373	3060.24150409343	3233.72458971761	2669.4605974354	2808.62516342626	3521.5552099059	2741.55249044501	3072.09621837182	1837.4176282176	1417.38183696996	2291.25555283082	2590.20620990993	1186.10635408209	1090.13500882754	2014.75501539193	1470.81052718873	1236.8543431428	1947.06650197392	1630.36416385328	2006.16819594438	2534.24690839974	2271.82017555071	3460.13010066458	2014.63798732474	FALSE	orangered3
cds397	2968.08578313549	2135.00834164371	2708.57811138296	5932.31801182159	4260.45923202063	4548.96360941119	3622.8498132774	3474.22345104629	3149.86684058865	4359.55705628772	2994.05607426665	3481.49476139284	3078.22491263736	3533.26620689295	2843.75219381782	3227.23947497729	1547.17145569998	1873.89150664032	2101.57328495191	2460.6984709868	2566.11909462529	1238.22814699926	2215.03744738147	1099.43986612649	1763.66267448141	1645.48451693906	1644.99063661512	2238.57679973033	3247.91523911711	4169.25367759899	4415.47810088604	3334.58846485716	FALSE	orangered3
cds399	2780.02060715231	5857.53106875323	5937.01686216237	4864.11669238833	5146.55908177841	5376.76325508169	3992.80832079856	3888.31857648684	4065.56167569821	5044.25775179059	3623.21891463045	3517.54008763695	3310.4185418115	3981.00898001287	3423.67433053057	3563.46345361738	2104.02680890777	2085.27411310793	2894.69102249357	3890.34008679739	1610.05492590624	1940.52853670084	2689.49099391458	2599.40022266226	2820.05878512073	2449.66162714703	3124.78430221671	3919.68735109147	4689.29177017535	4653.16199634237	5691.05346445738	4202.63058352761	FALSE	orangered3
cds400	6418.23590841675	4980.44300352883	7139.56253140432	7461.09582688289	6014.81994656127	6714.12206985697	3093.81211458752	4061.63914100834	4515.25681888783	3582.18897909323	3649.87820685229	3422.19512013361	3996.67674211185	3780.09174841571	3326.94047792248	3622.21676461041	1603.6158283644	1396.67388589318	2784.52742615549	1913.50231168388	1355.57019492908	871.204429026545	2673.96633478893	1153.1440412824	3060.79180983415	2061.02533044224	1611.55122854067	2783.21006351599	3626.26363380006	4651.42425762427	4940.6560723964	4074.01787471966	FALSE	orangered3
cds401	6869.70559512938	5252.798684554	7367.38611477197	8275.6844139787	7078.38669596113	7628.42042279357	3782.4518292908	4783.94528009676	4933.93504502744	3904.04928308606	4463.16225827155	4585.33336673134	5283.38410568894	5228.39027619919	5035.90551687304	5256.1626061602	2617.75597132996	3099.01917625844	4246.45348470762	2965.25670145566	2989.6264594279	2623.5498798076	4383.70974151599	1786.3786399185	3263.82548116235	3851.64977068833	2421.88313887162	3668.12179652918	5879.267392217	7818.03777489476	5523.45470317164	7926.37221795631	FALSE	orangered3
cds402	5133.62871498322	5785.92770600241	6858.62047879347	8674.69444147799	6351.57557910431	6510.01188357717	3615.82143058529	3368.3552566813	3819.0589238513	2983.8638719378	3951.0019741387	3738.10622955545	3609.48698358312	3865.36662646512	3946.24878016104	4245.8130507641	2373.73018662964	2686.42416751964	3875.53982852334	3063.71660863946	1819.18263320078	2034.49422567709	3509.02833057836	1327.39174660099	1560.47965357574	3345.00341897655	1893.6751903163	2733.41490681481	4847.28138688739	5746.18879968509	4705.70792349	4990.41855944091	FALSE	orangered3
cds409	3187.32452179033	1324.6687811856	2296.76120441576	2078.87576260124	2733.56891861	2623.79761882887	929.503043048809	1315.47948320351	1226.44159305656	807.980793748695	466.653923609596	525.290183495575	505.329489963502	582.860680669042	685.454110737041	1000.75793439486	219.485083748837	206.748000344262	754.511422918089	423.622439588205	170.10295560482	268.861366273628	611.985490525797	0	0	694.803392776638	0	158.934304596469	1400.24644452163	842.383135441179	1602.7527299636	807.356145320418	FALSE	orangered3
