darby_woo_adultmale_a	darby_woo_adultmale_b	darby_woo_adultfemale_a	darby_woo_adultfemale_b
cds331	605.399187966005	935.820644919958	682.961184345812	670.248041311183
cds332	501.081507565383	423.105701960273	662.763541821162	546.999051258509
cds333	11300.67750068	11012.3080014907	7692.59503976107	7878.09660026024
cds334	489.946254087849	558.513173567731	440.487802733219	500.502504725804
cds335	2098.49336744233	2263.44860995332	3970.78959699366	3186.1008338301
cds336	1088.977047225	765.325186381256	1305.2108292676	1148.60917155604
cds337	952.752178630254	456.341038790031	480.097648407579	1183.76491611479
cds338	192.437886209125	276.839583708279	448.082014651171	325.320233696553
cds339	510.654761961122	644.721446351611	600.081144218569	1064.01085234173
cds34	708.316828861357	387.665854560168	488.786430919022	455.4486231132
cds340	1299.32318756419	1631.54697268849	1599.90814573083	1891.64612203551
cds341	1382.36026277781	1210.51789423949	985.334775693778	711.087527699319
cds342	22918.3750747603	34678.7741747113	38988.6369637813	34784.3271846136
cds343	2885.91846097413	4810.6086033697	4005.53405459783	3369.55895511519
cds345	926.873906873183	397.429490869309	834.305293834442	659.014147681302
cds346	745.45900558881	1039.33225051129	777.976497045287	917.078862741827
cds347	236.583267870216	98.0825013068147	223.309545578242	174.31842948237
cds348	894.18732308594	490.363864395529	471.614235905043	562.496141986228
cds349	808.309014773076	514.06540367609	564.622503027159	560.023716943838
cds35	8091.94077002372	4157.10674371445	3771.79398166105	4889.69795973619
cds350	262.808465155633	286.320527793835	304.102511939871	246.030604809103
cds351	1791.67667487954	1087.98031228535	1161.71125043405	776.41675799685
cds352	634.410613876238	556.568802281677	1015.93156958113	1052.97652374031
cds354	360.735635213319	198.891924829952	286.804030947564	492.186790016525
cds355	2341.19670541769	3055.51466365667	2010.29974220814	2081.15598829385
cds356	898.88812388019	1121.70272265127	943.978226132371	1084.95088060164
cds357	957.354308276553	1432.35481682065	1245.62112425001	1190.88458508217
cds358	5238.90978082151	5217.27898123534	4066.99643185143	3345.54878548602
cds359	737.987856958072	1019.08986112717	1338.60040691386	1153.31481112223
cds36	1485.75793716745	690.261528405377	1099.99397031223	1550.15001835154
cds360	346.46612277939	384.5776559688	298.910669235884	377.596416145349
cds361	270.459261705133	179.130911890349	346.250030432155	420.003274981576
cds362	214.11358218323	204.158985035604	470.729459325992	277.343728295344
cds363	1231.02655288325	922.811977924599	869.494993944338	833.593777625983
cds364	741.11495462681	934.292007074046	1039.84471624227	1208.76071972694
cds365	4276.03855938327	3732.23040543588	4829.68072596088	3778.28924691245
cds366	752.448306328622	713.218262680683	751.666350944462	840.694839963622
cds367	1248.26561699869	1884.22251236425	1195.91498801034	1114.68173766764
cds368	1428.23442200584	1461.49218009962	994.802279689657	1019.47092565319
cds369	77.6220045213279	196.633124410762	184.971822756249	149.511024557488
cds37	1153.64881952827	967.505969761947	1650.04049398276	1836.97611322324
cds370	28.7141361019419	22.1139326150751	17.7359417453711	15.5839705556962
cds371	0	0	6.19559586645732	0
cds372	0	0	12.7946258823584	0
