grote_wbm_L4_a	grote_wbm_L4_b	grote_wbm_30dpi_immaturemale_a	grote_wbm_30dpi_immaturemale_b	grote_wbm_30dpi_immaturefemale_a	grote_wbm_30dpi_immaturefemale_b	grote_wbm_42dpi_immaturemale_a	grote_wbm_42dpi_immaturemale_b	grote_wbm_42dpi_immaturefemale_a	grote_wbm_42dpi_immaturefemale_b	grote_wbm_120dpi_adultmale_a	grote_wbm_120dpi_adultmale_b	grote_wbm_120dpi_adultfemale_a	grote_wbm_120dpi_adultfemale_b	invert	module
cds376	2444.39486014795	1715.93535343082	2110.51660707959	2258.4313531426	2815.15412189028	2114.49487099929	2070.68360644	1853.68154063509	1186.17067865491	1579.34316554578	881.14065718187	801.144356314169	1506.53481058888	1641.55487048361	FALSE	purple
cds5	5101.3458190383	4302.46403382732	4673.88229274749	5019.31830505935	6445.48801762158	5163.01954507172	5373.28521022347	4750.84255133436	4263.89800560319	3708.0080531215	1899.77041035841	1658.17554849476	3573.18817115424	4142.46845666864	FALSE	purple
cds661	3800.87993259967	3644.24108806767	3438.4572033408	2645.87785668884	5922.21284794579	3043.6822873075	3361.88146302469	4783.58097552477	2263.80261303748	3184.75408397868	207.293888044148	944.051339292294	1405.25124239114	2221.64508395781	FALSE	purple
cds960	3058.49741596584	1856.76263223829	1717.16808672486	2013.89709470687	2811.06027655798	1982.96804185314	2500.09368524205	1569.39277854241	1089.14852797912	2057.80736126091	628.380332136285	167.670817812284	1466.58422668748	1059.14054823714	FALSE	purple
cds593	1912.98126998005	1340.91044606655	3608.59670029111	2746.24600749327	3063.3838448504	4556.55390679177	844.265789467574	2449.83256525717	1312.95341423578	1851.69630015306	1017.86689056729	601.847291499464	683.955995754754	1311.3379153524	FALSE	cyan
cds835	1281.83541577489	1036.25502393531	2596.35683869658	2653.56696722203	1934.02532825255	2440.53046859848	1508.43397462343	1992.42043657764	1245.31455401209	1796.38033327939	1394.02939246278	1811.40957728748	920.676583979552	885.631628443743	FALSE	cyan
cds856	1554.571254304	117.778695306679	1154.63565596601	1802.19315380164	1580.92415836815	1408.13243089921	142.691863725332	795.579260489451	561.091202664862	1175.45608731124	267.61559796217	482.288401942331	341.8395409347	763.305988388725	FALSE	cyan
cds859	1746.52650300308	901.045012223616	2311.60779641619	1911.8601287042	4059.3429394588	2826.36084308424	659.438940798255	1460.24234850589	1262.27420883379	1102.97856213938	66.7065613348282	652.636980463606	962.073964065377	1078.8925702082	FALSE	cyan
cds613	1555.00777219824	1735.93773070924	1128.11410961367	1208.14097957393	1351.15821526321	1558.63855299296	1802.68491411701	1861.27398529048	1380.7530194209	1420.21128698813	368.676513397209	376.474801448278	1120.51792697819	906.784647700488	FALSE	salmon
cds760	7043.62576976005	8578.76847034448	6471.69757911034	5364.47813231982	8377.91890198892	7046.15516840622	11816.542477761	13019.4589636655	8304.88565675493	7538.16326527142	4377.72992795801	235.000926073517	3657.58335709883	3088.85601096139	FALSE	salmon
cds876	872.116795285189	1617.43870556201	809.53100219174	1114.43308676446	1652.29875768442	1348.27895859051	3076.42336414551	1658.70300080116	2348.99946062167	1523.81087176466	1317.02689836195	1059.47785931912	1179.25798315882	934.172153031995	FALSE	salmon
cds145	551.718444143998	969.837422979009	328.911568862172	775.406202589293	1090.35433335829	1104.4998073822	0	0	1211.76607825425	402.243448676763	919.522263459341	1698.55111695964	582.45028570494	863.339103831291	TRUE	salmon
cds270	7708.5239173885	8081.07477648757	9137.7916814998	6735.46602905971	5204.85411713127	5158.20463570768	6202.38934929574	7068.02095531714	8528.30988089868	5515.25766641647	5280.65480094816	2171.06766887644	3252.76648841633	3665.13294547689	FALSE	lightgreen
cds343	139.003937869739	0	265.566504121164	716.412449119354	571.916395869787	863.051269113615	589.860743428275	562.81064614696	263.573091643281	331.254743168237	739.588227183834	1552.14134787559	1049.40811180316	1520.11779438173	TRUE	lightgreen
cds358	719.576053240755	406.208304309751	723.331980048744	919.106506882794	231.240028969508	774.972769805575	779.423728771683	1003.08619318703	1091.64682967449	1437.81985088397	1752.0270005505	971.715847403423	1550.3616775389	2104.90135122653	FALSE	lightyellow
