darby_wmel_doxy_a	darby_wmel_doxy_b	darby_wmel_doxy_c	darby_wmel_nodoxy_c	darby_wmel_nodoxy_a	darby_wmel_nodoxy_b
cds156	1820.03549175943	2516.51418660163	2120.556712684	798.753629280265	897.540316421702	961.183525026111
cds17	1756.31864712201	1060.47082792095	1876.97128156806	997.799271960432	630.333271210511	599.02747488321
cds179	1477.34890913768	2574.89589008915	1808.30113862622	278.090324186748	342.451456638011	594.925544897481
cds18	2008.6570571929	1289.52177305421	2070.84137133234	891.558470223341	799.425053161317	398.471810406581
cds183	1492.15001623687	1393.91206062967	1640.75405744223	729.364164023257	583.069701187489	1090.0381194045
cds23	4400.0819974819	6124.19475765203	4175.55452447199	1975.63305681355	1609.2927088135	2499.42025638654
cds241	152.381033771879	80.9213689363105	200.042935850031	429.859160531041	404.705619651809	307.363797067834
cds243	254.390878476966	170.373073285443	414.346385122859	772.993412375096	589.155799948194	682.454854303614
cds244	200.588415064549	193.481894646597	343.173329165517	775.963422714405	549.460605473286	675.292204725075
cds246	4771.98735567789	3970.68818864717	5482.49861241387	2735.68826967775	3083.2794978802	1860.79483156724
cds254	62.7356065017361	23.3509170185717	69.4305243975895	190.545371761071	221.931977712742	127.757078661829
cds256	419.700133448352	369.744511615635	799.088165457847	1907.98514358343	755.834309855523	1098.79842828101
cds260	190.679993198176	142.422409539219	294.938099366612	590.41441339245	675.546247949075	487.844896328088
cds261	133.66365693616	54.9149151953997	96.3872056295767	269.171099829782	266.904614647121	215.258746775003
cds262	122.235330908741	36.1819167614134	210.726778757044	526.242973960057	528.259356582483	749.037194472659
cds263	114.027215142135	53.8928101748424	195.180113472315	390.255065671159	387.337786705573	322.915110903714
cds264	151.686596751468	93.732975878395	196.264507142783	606.18020619762	512.786929870435	550.47762470533
cds265	108.169379913152	58.9650272043219	218.035331436966	375.247725763957	401.980676006956	346.913716610902
cds268	6168.28223516641	6181.56934772473	7324.02844557606	10763.7701364637	8530.47798432372	10078.6215125372
cds281	6488.11436581704	3120.25383278424	7836.35693124545	13653.2967815359	12508.4875487636	10283.245287097
cds282	2984.50071982908	1618.52748763624	4672.79950744724	10811.1542576707	9355.32664867191	11024.2137879796
cds296	37.5987857450751	34.875228119249	75.8659489772656	113.458748474763	180.673474160314	121.720953971313
cds299	117.142919712132	33.6201314140725	95.1170068731982	376.692330197341	349.494363545182	418.697685422459
cds326	355.108782067046	482.702571531128	678.119948313766	243.790580181295	209.712606381725	304.406022008894
cds352	861.906948226271	461.491956677039	627.33112773048	284.935402771472	206.105220617976	262.975191734507
cds371	822.692152001997	1134.3207567248	1260.54411718255	344.896295098104	375.832012226736	737.986335509656
cds381	782.537128039535	917.733740738306	1207.46456780013	1720.6838809055	1799.33741962188	2607.66874419301
cds386	986.94466915478	742.068193191729	312.287106834525	270.873893160586	135.136156732237	251.840224344535
cds395	1156.84117434818	2677.61122280203	1805.5831821964	823.256250382366	799.419392579841	1045.62440161332
cds416	4435.42062553433	9151.40557248627	4493.74812486813	2369.6173742968	3556.66150174555	2490.16803967861
cds427	569.461810615582	500.05521776931	521.823169095332	346.440235191684	174.094328042432	239.012661076677
cds439	721.82484689287	762.202563400781	849.789565811387	435.435346916094	392.921885333913	365.784892931668
cds455	2727.38479120443	4680.88217546614	2828.10742284803	811.827307181911	1815.11223387801	1252.83946567733
cds456	947.510562964964	828.460986818994	796.986886355739	299.279044782414	252.436775661526	329.722405387512
cds498	292.175477447812	447.092750437141	562.355692654144	74.7067787216109	35.2893908194118	212.461617260408
cds506	60.5121160017612	85.5731679780181	68.8526671148435	170.401767747599	229.377069141532	182.945767796893
cds512	804.816839269743	693.570246682833	1188.96848076902	447.602988299456	564.016811363635	311.830996714289
cds513	1026.18398423165	863.320272045573	816.388884903563	531.169565528123	335.360652965948	261.68236979712
cds540	62.2410826687139	29.6298100593539	115.014740930692	181.926450125261	198.9579748925	210.295503634304
cds557	209.407975255247	162.534571114736	301.778229810829	489.649572535359	425.976297603603	440.92041495596
cds559	12654.9382372933	12640.3304945937	9022.72165212335	5014.67615167686	6059.52302022748	5705.20539438136
cds562	92.4085732696542	15.0522924448638	68.8506471457326	339.32694475749	207.925891223456	177.86593324002
cds58	2710.58971622484	2102.77158494595	2159.9514641902	803.543490639166	946.294301504323	374.488688669121
