chung_wbm_vector18hpi_a	chung_wbm_vector18hpi_b	chung_wbm_vector4dpi_a	chung_wbm_vector4dpi_b	chung_wbm_vector8dpi_a	chung_wbm_vector8dpi_b	chung_wbm_mammal1dpi_a	chung_wbm_mammal1dpi_b	chung_wbm_mammal2dpi_a	chung_wbm_mammal2dpi_b	chung_wbm_mammal3dpi_a	chung_wbm_mammal3dpi_b	chung_wbm_mammal4dpi_a	chung_wbm_mammal4dpi_b	chung_wbm_mammal8dpi_a	chung_wbm_mammal8dpi_b	chung_wbm_mammal20dpi_immaturemale_a	chung_wbm_mammal20dpi_immaturemale_b	chung_wbm_mammal24dpi_immaturefemale_a	chung_wbm_mammal24dpi_immaturefemale_b	chung_wbm_adultmale_a	chung_wbm_adultmale_b	chung_wbm_adultfemale_a	chung_wbm_adultfemale_b	chung_wbm_adultfemale_c	chung_wbm_adultfemale_d	chung_wbm_embryo_a	chung_wbm_embryo_b	chung_wbm_immatureMF_a	chung_wbm_immatureMF_b	chung_wbm_matureMF_a	chung_wbm_matureMF_b
cds106	385.564349550991	321.523865135309	774.720218327413	113.819718365183	501.291128161529	363.103774736321	328.311298408868	344.640394979533	200.798563714137	161.970033239611	797.466682593987	705.779500718916	466.451664031803	466.348033939487	3627.82038316925	3876.78020462183	5729.68943207417	6603.21296442561	7950.24009350746	4840.32085543139	2135.18268131816	2924.75395708257	2557.50267945084	3553.57884249068	2452.46977332255	7071.93232822851	2312.93289273922	1069.01840575805	2300.89981066038	1328.86476957802	2601.02417910297	511.443573319102
cds107	1.20862701135518	0	198.138619374253	0	22.5203584199925	12.1707579205152	38.9353746575317	3.1033706574777	19.5546737061625	48.6728130189741	48.8377358007711	0	0	16.8757042885463	14.6636533648678	52.5247113298339	0	44.4322216840252	7.01828037813368	33.7792802302096	0	17.655785960965	49.1140468036373	0	0	28.6003855175572	0	0	18.5429594383136	21.3380436118621	74.623021486071	18.7991231528761
cds108	0	0	0	0	0	0	0	56.5790446719778	0	14.2566215814473	0	0	0	0	0	0	0	0	5.22518386366601	0	0	0	17.557242440815	0	0	1.92146457020064	0	0	0	0	0	0
cds109	3036.31260920239	3913.28884361622	2912.07601277575	3034.79983780979	1556.85777230382	2215.94927036542	2191.97055363888	1722.56025301031	3071.98446067335	1750.13222669873	2804.66078707574	2487.27743438614	3644.9229161639	2873.05072601766	3548.29295046994	3188.41843582791	4342.09777187064	4219.60562542516	3099.17688938857	4533.25669318734	4227.78747051722	4329.802277327	2727.22486551613	4501.70326670926	3586.34041624632	3458.71185403832	4904.08956572735	5272.46285458092	3073.16709907655	3542.20863695055	3505.15513219712	3741.14062908855
cds11	9025.18754169155	8680.39551098337	7944.11698464931	9401.80880946946	9269.77419464861	9086.70605264284	4092.73637360982	4408.66237583433	4987.4012617568	4450.82278255211	5909.00251870614	5433.53665279555	5403.29956199655	5200.28678309962	5442.25713424908	5668.88214399739	6251.23305607916	5635.46473962648	7455.9833353968	6857.91435847457	9503.47106466121	8404.08011880002	5042.86779157268	6031.53609435604	8602.88282380756	6517.06361967425	7784.67022091012	6827.10543895518	5645.42068397875	7831.77477136699	6513.54413921547	5628.52311056342
cds110	1417.91325533422	473.54445072888	615.250698853376	351.366765398826	397.002999992708	469.438006079183	666.92555125819	540.322032195748	841.062216934951	484.941300858216	912.381092098772	760.058333349434	820.360265851317	1089.12223248903	1111.6407438859	1086.85011536246	1265.17175926124	924.63697477565	599.52101982149	1245.85789390971	1160.20096645538	984.087928641425	806.634751557604	1042.84380626126	901.609637969791	553.171416885282	1282.43204974629	1373.4287292637	637.321177519666	669.541959003092	639.129838220573	991.416355926953
cds112	0	0	0	0	2.98126320047527	48.2058941011663	51.7125607470291	0	219.964573098189	0	103.568262102613	141.885446302881	14.3047241143507	39.0635867966177	23.8307578956274	43.5656468555144	15.58149325951	17.1911673540537	50.978218320366	7.78569057165647	0	35.5539854591515	57.1225627123914	0	0	43.7512222586749	0	0	0	0	0	0
cds116	4710.0714347901	4831.36869537576	4237.97111098695	4197.53809946903	3337.44754764197	3529.88502316177	2170.72323626961	2040.51810312198	3212.79495777952	1402.94779255911	2941.58377569551	3622.34806605178	3344.51785549475	3099.25977890521	3141.19766733774	3135.75364351838	2988.05097661219	3190.94514041012	2995.98552890311	2892.14448766048	2078.55783616853	2407.07318863352	2014.11362388584	1470.41333287947	2532.72470176667	2210.69211423718	2800.40371605004	3362.10067195578	2219.48061490998	2864.31121376789	2225.96230312464	3220.94996596428
cds119	414.413273328617	1534.56857888464	722.349171040269	620.561868431186	901.314962479997	960.603202906244	504.475355816221	524.820670791847	416.267721495056	629.096864614456	640.65447216863	619.674095874516	424.771980617491	441.217477115955	378.200897347842	348.926629222153	464.81794661619	500.228290414641	596.509162277958	508.223292496618	259.617174942163	651.129746957816	323.78212125516	561.291646941196	388.125922600047	444.782132255624	421.500943013485	273.77049103535	489.908862609695	637.823793892975	666.12336902912	515.033130057803
cds120	715.465132273155	203.627410568905	337.172674705666	548.35522201103	448.945871849901	386.876194897521	362.328539602508	289.180433092466	489.107515561215	537.285209977172	441.112214772976	309.278759340369	280.82903967854	298.535535968049	326.254423571089	323.591589425515	377.551567441973	282.184930798805	322.91667275185	353.263232620689	174.688242376548	336.532146980661	232.870389405476	304.515637099117	365.888060673299	193.271873234377	411.991484050642	420.181317299962	553.406303877746	329.508635006255	362.112995288178	606.160855056531
cds122	374.578450741428	535.596116494782	167.840194629455	146.68768752518	277.213498726065	265.472007027873	407.253547974845	308.940548951905	520.832215939069	439.829736352722	222.474605601308	356.265096827886	223.400938329057	234.144771768818	357.226843515437	217.910212645311	240.993762413755	258.960528975909	165.484931049618	272.884129152908	250.242110291474	181.720370124552	248.450872798066	87.971184050856	0	152.274090373	222.466844970232	259.186577693927	312.474620645915	114.914255701382	310.929256191962	260.280126425953
cds123	105.492519350337	589.09013129324	421.31359510412	383.277602494507	395.379701310236	333.316615145756	446.577021684972	386.217114681669	579.144885768182	372.426241478136	288.560557274866	352.2865415486	531.36494852147	359.226399676929	331.418746019538	314.765806488738	365.389798851349	276.87376450928	314.131175999133	274.017568642522	191.325885295666	104.202518062926	269.535716608179	144.127546685262	186.795693678525	247.448933052607	291.582757970693	143.527712866188	356.642544803705	320.352269741377	468.657932269924	439.800923267566
cds124	407.40193917744	1888.364045179	1178.57103780666	1294.63429123431	1181.26262061504	964.528895873532	689.162855528566	788.014120278965	453.330926576729	662.75493192943	651.476653865246	536.677669564274	506.462302171063	708.80319626489	692.546637814169	702.139598169412	1208.33798821089	1025.6686487615	1541.50841623553	1181.71120701377	1356.23198520797	1527.72262184011	1021.942663453	1566.40002761574	1773.66595601703	1652.88154299925	3737.92943903847	1118.56388132909	1233.64741371019	1369.94672453482	1512.09520432526	1192.41467960212
cds125	257.782498432812	1423.12139697063	1235.10460969314	930.196278625204	778.938842705287	553.464699789835	291.510112805303	274.279862620182	595.652439407357	342.310030220008	629.796998367535	504.656855541637	413.41589681136	397.100060515861	506.652319305533	397.772797088043	923.68827099485	539.246194096274	681.553251700747	516.612655654197	196.205113112813	406.348867490714	456.576229225542	472.192053081707	551.993510345828	524.142741196026	545.905950635197	689.872047025723	668.867421988186	657.98367492678	868.286920037026	494.617243988295
cds128	11.0106387385813	12.1536746613664	0	0	105.290364495267	23.4118031432504	48.2184688046623	0	0	139.028331834802	123.920766453622	61.1993485983745	35.5685032032503	36.4241552563057	46.0918141321837	181.161114545103	51.1662548927153	71.6879422433118	25.9419324370609	64.6107105412735	0	0	30.9749527143674	64.1951883614354	140.399682194589	31.2569777080387	0	0	76.4897076830435	128.460789582224	117.22873307778	59.0190850118401
cds129	136.836541613719	2.30715745670528	73.1984874792259	0	11.6667691615939	0.700371061690408	140.404494958301	65.2071514319241	0	179.779238283319	82.3781866232484	23.9341202468827	68.543469714597	68.5680959873999	97.9252652348623	123.294184167266	176.022181666027	37.5832942545002	42.1426525806317	46.7962581351868	0	1.91658202865739	77.749127749082	0	0	37.6086659104897	389.49078092054	0	142.820626064433	50.8862329103196	553.551241414253	48.8542212935367
cds131	510.429086045537	406.805460244922	196.569204567328	206.203861660969	150.312119011367	130.563988567064	209.234239481271	363.13315905811	142.397133928275	359.908411823636	108.484133284581	72.1492320485738	118.260333080918	119.176223685714	190.584784073287	138.786448783061	75.9597796401113	93.3575893810417	133.157363237881	170.005419688726	344.395704288641	38.842729114123	255.699349296325	0	0	188.396042840451	628.190753484694	258.052636416516	246.679307277815	287.896885294421	208.478066276711	524.006758763267
cds132	592.087272888376	48.5289071454481	265.334105045491	418.527958355037	288.583824457617	395.680041650068	325.862293367964	308.542055014274	238.82722569496	432.145497836859	343.254832274516	276.340345225661	275.668373749159	170.685404926612	247.566302557807	194.241030129035	210.279901769249	303.1838064197	305.531578387897	236.37625720163	67.7007713213406	525.427698437536	248.805389003477	71.3994579971877	57.8355404275192	255.7062459658	315.978710165636	157.771388726513	278.558960495012	220.930532962748	348.926182129008	211.995338358593
