luck_wdi_adultfemale_bodywall_a	luck_wdi_adultfemale_bodywall_b	luck_wdi_adultfemale_head_a	luck_wdi_adultfemale_head_b	luck_wdi_adultfemale_intestine_a	luck_wdi_adultfemale_intestine_b	luck_wdi_adultfemale_uterus_a	luck_wdi_adultfemale_uterus_b	luck_wdi_adultmale_bodywall_a	luck_wdi_adultmale_bodywall_b	luck_wdi_adultmale_intestine_a	luck_wdi_adultmale_testis_a
fig|82301.12.peg.244	1.65	3.36	0.47	1.68	0	0	0	0.72	0.35	0.5	0	0
fig|82301.12.peg.245	4	1.5	1	1.5	0	0	0	0	1	2	0	0
fig|82301.12.peg.246	0.5	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.247	0	0	0	0	0	0	0	0	1	0.5	0	0
fig|82301.12.peg.248	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.249	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.25	0	1	0	0	0	0	0	0	0.5	0	0	0
fig|82301.12.peg.250	0.5	0	0.38	0.28	0	0	0	0	1.5	0.5	0	0
fig|82301.12.peg.251	0	0.45	0.03	0.63	0	0	0	0	1	0.5	0	0
fig|82301.12.peg.252	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.253	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.254	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.255	0	0	0	0.44	0	0	0	0	0	0.39	0	0
fig|82301.12.peg.256	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.257	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.258	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.259	0.41	0	0	0	0	0	0	0	0.06	0.18	0	0
fig|82301.12.peg.26	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.260	0.44	0	0	0	0	0	0	0	0.82	0.21	0	0
fig|82301.12.peg.261	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.262	0	0	0	0	0	0	0	0	1	0	0	0
fig|82301.12.peg.263	0.38	0.06	0	0	0	0	0	0	1.15	0.82	0	0
fig|82301.12.peg.264	5.52	0.92	2	0	0	0	0	1	0.82	2.65	0	0
fig|82301.12.peg.265	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.266	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.267	0	0	0	0	0	0	0	0	1	1.5	0	0
fig|82301.12.peg.268	2.46	0.48	1	0	0	0	0	0.98	0	0	0	0
fig|82301.12.peg.269	0	0.5	1	0	0	0	0	0.5	3	1.5	0	0
fig|82301.12.peg.27	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.270	0	0	0	0	0	0	0	0	0.5	0	0	0
fig|82301.12.peg.271	0	0	0	0	0	0	0	0	1	0	0	0
fig|82301.12.peg.272	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.273	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.274	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.275	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.276	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.277	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.278	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.279	0	0	0	0	0	0	0	0	0	0	0	0
fig|82301.12.peg.28	0	0	0	0	0	0	0	0	0	0	0	0
