luck_wdi_L3_a	luck_wdi_L4_a	luck_wdi_adultmale_a	luck_wdi_adultfemale_a	luck_wdi_MF_a
fig|82301.12.peg.240	1.5	3	2.56	4.73	9.12
fig|82301.12.peg.241	0	0	0	2.14	1.46
fig|82301.12.peg.242	0	0	0	2.32	8.53
fig|82301.12.peg.243	1.5	2.48	5	19.8	54.78
fig|82301.12.peg.244	0	1.5	1.86	4.23	14.51
fig|82301.12.peg.245	0.5	5.5	1.25	7.99	11.83
fig|82301.12.peg.246	0.5	2.5	2.5	5.16	18.33
fig|82301.12.peg.247	0	2.5	2	7.72	28.26
fig|82301.12.peg.248	2	5.5	6	25.08	56.52
fig|82301.12.peg.249	0	0.78	5.37	15.62	36.61
fig|82301.12.peg.25	0.5	0.5	6.2	18.46	51.62
fig|82301.12.peg.250	0	1.16	4.07	12.16	21.71
fig|82301.12.peg.251	1	0	4.26	15.64	23.76
fig|82301.12.peg.252	0.5	0	3.5	8	70.07
fig|82301.12.peg.253	2	0	4.57	10.73	26.54
fig|82301.12.peg.254	1	0	1.49	4	16.69
fig|82301.12.peg.255	0	2.64	1	4.79	13.55
fig|82301.12.peg.256	0	0	3.5	7.86	20.38
fig|82301.12.peg.257	0	0.5	4	12.49	14.57
fig|82301.12.peg.258	0.5	1.5	2.82	8.75	22.65
fig|82301.12.peg.259	0	2	1.09	5.82	16.71
fig|82301.12.peg.26	0	0	0	1.94	22.33
fig|82301.12.peg.260	1	0	3.71	18.99	22.88
fig|82301.12.peg.261	0	1	6.18	20.19	59.14
fig|82301.12.peg.262	0.5	0.5	5.06	8.97	29.27
fig|82301.12.peg.263	0	0	1.89	7	20.25
fig|82301.12.peg.264	2	4.45	10.32	33.18	44.07
fig|82301.12.peg.265	0.5	1.54	0.5	6.92	12.07
fig|82301.12.peg.266	0.5	3	4.21	15.97	22.41
fig|82301.12.peg.267	1	0	10.02	20.68	33.12
fig|82301.12.peg.268	0	0.18	0.69	10.64	8.91
fig|82301.12.peg.269	0	1.5	4.5	18.38	29.89
fig|82301.12.peg.27	0	0	8.55	21.6	30.95
fig|82301.12.peg.270	0.43	0	3.37	14.78	61.09
fig|82301.12.peg.271	0.95	3.5	3.2	17.13	26.31
fig|82301.12.peg.272	0.5	1.5	6.72	20.52	5.87
fig|82301.12.peg.273	0	0	3.54	13.54	6.13
fig|82301.12.peg.274	0.5	4	1.53	7.47	28.82
fig|82301.12.peg.275	0	1.55	0.36	0.54	8.59
fig|82301.12.peg.276	0	0	0	1.2	3.05
fig|82301.12.peg.277	0	0	0.16	1.29	10.19
fig|82301.12.peg.278	0	0.5	0	0.75	6.09
fig|82301.12.peg.279	0	0	0	1.26	12.04
fig|82301.12.peg.28	0	0.36	1	4.23	3.28
fig|82301.12.peg.280	0	0	0.5	0.92	11.64
fig|82301.12.peg.281	0	0.93	0.5	2.1	15.62
fig|82301.12.peg.282	0	0.5	0	1	18.89
fig|82301.12.peg.283	0	0	0.03	2	0.77
fig|82301.12.peg.284	0	0	0.39	2.12	0.91
fig|82301.12.peg.285	0	0.15	0	0.21	2.76
fig|82301.12.peg.286	1	2.88	5	22.23	21.46
fig|82301.12.peg.287	0	3.5	2.95	18.96	47.8
fig|82301.12.peg.288	0.5	0	5.44	15.42	11.97
fig|82301.12.peg.289	0	1.5	7.73	18.96	53.61
fig|82301.12.peg.29	0	0	0.23	0.55	16.5
fig|82301.12.peg.290	0	0	0.25	2.07	4.45
fig|82301.12.peg.291	0	0	0.5	0.84	5.46
fig|82301.12.peg.292	0	0	0.5	2.06	8.59
fig|82301.12.peg.293	0	1.5	2	4.93	8.16
fig|82301.12.peg.294	1.5	0.5	9	39.7	32.04
fig|82301.12.peg.295	0.5	2	3	10.69	29.22
fig|82301.12.peg.296	0.5	1.5	4.5	22.01	30.52
fig|82301.12.peg.297	0.57	3	4.5	9.7	16.45
fig|82301.12.peg.298	0.5	5.5	2.34	12.19	26.75
fig|82301.12.peg.299	0	0	3.02	12.05	17.8
fig|82301.12.peg.3	0	0	0.5	4	20.6
fig|82301.12.peg.30	1.5	5	5.34	17.92	29.21
fig|82301.12.peg.300	0.5	0	2.22	5.55	41.95
fig|82301.12.peg.301	0	1	0	2.17	8.39
fig|82301.12.peg.302	0	1	2.5	4.89	28.37
fig|82301.12.peg.303	0	0.5	2	3.97	40.79
fig|82301.12.peg.304	1.5	1	2.18	7.7	19.34
fig|82301.12.peg.305	2.99	2.83	13.5	45.7	66.2
fig|82301.12.peg.306	2.5	7	16.05	58.31	98.61
fig|82301.12.peg.307	0.5	0	1.5	15.25	23.01
fig|82301.12.peg.308	0	0	2	5.07	34.93
fig|82301.12.peg.309	0	0	0	3.12	8.88
fig|82301.12.peg.31	0	0.5	0.47	2.24	6.96
fig|82301.12.peg.310	0	2	5	22	70.83
fig|82301.12.peg.311	0	0	0.65	2	11.93
fig|82301.12.peg.312	0	0	1.5	5.92	7.15
fig|82301.12.peg.313	0	7	2.5	13.2	30.49
fig|82301.12.peg.314	0	0	1	3.21	3.74
fig|82301.12.peg.315	0.7	0	8.41	25.36	33.1
fig|82301.12.peg.316	0.96	1.48	20.5	59.51	41.39
fig|82301.12.peg.317	0	1.16	1.98	4.87	13.81
fig|82301.12.peg.318	1.5	8.5	3.95	20.24	38.39
fig|82301.12.peg.319	1.5	4.12	5.26	24.45	40.29
fig|82301.12.peg.32	0.5	1.5	4	9	30.11
fig|82301.12.peg.320	0.5	2.06	5.66	8.9	19.85
fig|82301.12.peg.321	0.5	1.5	8.8	28.61	35.66
fig|82301.12.peg.322	0	1.62	0.5	2.51	19.19
fig|82301.12.peg.323	0	3	4	8.5	51.71
fig|82301.12.peg.324	0	0	1.53	2.13	10.54
fig|82301.12.peg.325	0	1	1.97	3.5	34.58
fig|82301.12.peg.326	0	1	10.45	31.93	125.84
fig|82301.12.peg.327	0	0	0.22	0.91	4.81
fig|82301.12.peg.328	0	0	6	13.73	22.21
fig|82301.12.peg.329	1.49	0	3.5	13.37	16.1
fig|82301.12.peg.33	0	6	5	17.98	56.16
fig|82301.12.peg.330	0	0	0.36	0.73	9.75
fig|82301.12.peg.331	0	0.5	1.22	5.19	53.01
fig|82301.12.peg.332	0	4	4.62	17.18	29.09
fig|82301.12.peg.333	0	0	0	0	7.25
fig|82301.12.peg.334	0	0	1.84	2.47	2.1
fig|82301.12.peg.335	0	0	0.64	1.83	4.15
fig|82301.12.peg.336	1	0	7	28.03	73.24
fig|82301.12.peg.337	0	0	0	2.82	20.53
fig|82301.12.peg.338	0	1	4	18.5	48.5
fig|82301.12.peg.339	0	1	5.08	15.77	44
fig|82301.12.peg.34	0	0	0.5	4.5	9.54
fig|82301.12.peg.340	0	0	3.37	4.92	13.9
fig|82301.12.peg.341	0	1	2.03	7.02	12.02
fig|82301.12.peg.342	0	2	8.32	22.47	43.31
fig|82301.12.peg.343	0.45	0	0.06	1.5	2.84
fig|82301.12.peg.344	1	0	3.23	15.23	52.3
fig|82301.12.peg.345	0.5	0	2.5	20.22	55.42
fig|82301.12.peg.346	0.5	2.5	2	6.86	13
fig|82301.12.peg.347	0	0	0	0	4.28
fig|82301.12.peg.348	0.5	0.22	7.42	17.95	9.3
fig|82301.12.peg.349	1.53	0	4.34	7.98	12.01
fig|82301.12.peg.35	0	3	4.5	8.5	44.85
fig|82301.12.peg.350	0.5	2	5.45	15.38	28.9
fig|82301.12.peg.351	1	2	2.23	8.3	26.8
fig|82301.12.peg.352	0	0	8	24.6	69.47
fig|82301.12.peg.353	1	11.38	1.24	9.93	11.94
fig|82301.12.peg.354	0.34	0	1.61	2.48	9.64
fig|82301.12.peg.355	1.08	3.5	9.08	28.86	64.23
fig|82301.12.peg.356	1	1.5	5.42	15.03	17
fig|82301.12.peg.357	4.5	1	13.91	42.75	37.02
fig|82301.12.peg.358	0	0	1	5.16	29.97
fig|82301.12.peg.359	0.5	4.72	11.6	35.5	22.7
fig|82301.12.peg.36	0.5	1.5	6.05	16.46	19.14
fig|82301.12.peg.360	0.5	0	3	13.82	43.39
fig|82301.12.peg.361	0.5	0	2.53	3.51	11.67
fig|82301.12.peg.362	0	0	0.08	0.12	1.13
fig|82301.12.peg.363	0	3	1.08	4.85	15.41
fig|82301.12.peg.364	0.5	2.32	1	7.62	51.51
fig|82301.12.peg.365	0	0	2.5	7.14	50.43
fig|82301.12.peg.366	0	3	11.86	35.4	53.26
fig|82301.12.peg.367	0	0	1.5	2	18.86
fig|82301.12.peg.368	1	0.44	7	27.02	46.31
fig|82301.12.peg.369	1.5	9.98	9.5	37.12	55.92
fig|82301.12.peg.37	0	2.5	3.87	9.18	25.52
fig|82301.12.peg.370	0.5	0	4	20.49	19.77
fig|82301.12.peg.371	0.5	0	2.13	12.47	21.01
fig|82301.12.peg.372	0	9	16	50.66	49.04
fig|82301.12.peg.373	0	0	0	0	0
fig|82301.12.peg.374	0	0	0	0	0.37
fig|82301.12.peg.375	0	5.21	2	12.59	74.26
fig|82301.12.peg.376	0	4.15	4.1	12.92	30.96
fig|82301.12.peg.377	0.68	0	0.5	2.04	7.19
fig|82301.12.peg.378	0.5	1	8.5	38.42	92.52
fig|82301.12.peg.379	0	0	0.22	0.88	11.79
fig|82301.12.peg.38	1.58	11	11.5	46.2	88.77
fig|82301.12.peg.380	1	0	0.33	1.75	7.94
fig|82301.12.peg.381	3	0	7	25.91	27.87
fig|82301.12.peg.382	4	0	13.67	33.33	10.77
fig|82301.12.peg.383	0.93	4	4.63	18.07	35.3
fig|82301.12.peg.384	1	0	0.67	9.88	14.96
fig|82301.12.peg.385	0	2	3.39	11.02	43.22
fig|82301.12.peg.386	0	0	0	0	4.5
fig|82301.12.peg.387	0	0	0.5	0.26	4.94
fig|82301.12.peg.388	1	6	4.5	29.13	56.39
fig|82301.12.peg.389	4	1.5	14.87	32.54	45.43
fig|82301.12.peg.39	0.77	0	3.77	17.96	47.66
fig|82301.12.peg.390	0.5	18	5.5	12.38	15.91
fig|82301.12.peg.391	1	3	9.9	33	70.19
fig|82301.12.peg.392	0.5	0	10.02	35.36	83.72
fig|82301.12.peg.393	0	4.6	8.26	19.58	120.13
fig|82301.12.peg.394	0	4.44	6.5	33.25	119.39
fig|82301.12.peg.395	1	2.5	9	33	96.7
fig|82301.12.peg.396	0.5	0	0.5	3.4	21.36
fig|82301.12.peg.397	0	2	0.92	1.5	5.29
fig|82301.12.peg.398	0	0	0.5	1.71	5.85
fig|82301.12.peg.399	0	0	0	0	0
fig|82301.12.peg.4	0	5	0	0	6.08
fig|82301.12.peg.40	0	0	0.8	4.96	12.82
fig|82301.12.peg.400	0	0	0	0	0
fig|82301.12.peg.401	0	0	0	0	0
fig|82301.12.peg.402	0	0	0	0	0
fig|82301.12.peg.403	0	0	0	1	0.5
fig|82301.12.peg.404	0	0	0	0	0
fig|82301.12.peg.405	0	0	1	2.5	1
fig|82301.12.peg.406	0	0	0	0	0
fig|82301.12.peg.407	0	0	0	0	0
fig|82301.12.peg.408	0	0	0	0	0
fig|82301.12.peg.409	0	0	0	0	0
fig|82301.12.peg.41	1	0	2	12.5	26.12
fig|82301.12.peg.410	0	0	1.5	1	3.5
fig|82301.12.peg.411	0	0	0	0	0
fig|82301.12.peg.412	0	0	0	0.5	1.5
fig|82301.12.peg.413	0	6	5	17.46	76.61
fig|82301.12.peg.414	0	0	0.15	0.29	5
fig|82301.12.peg.415	1.5	3.1	1	9.14	34.04
fig|82301.12.peg.416	0	2.04	2	5.3	15.52
fig|82301.12.peg.417	0	2.94	0.97	6.58	20.5
fig|82301.12.peg.418	0	0	0	0.5	4.5
fig|82301.12.peg.419	0	10.98	9.99	35.75	57.21
fig|82301.12.peg.42	0	0	2.37	4.38	15.61
fig|82301.12.peg.420	0	0	0.18	1.08	1.5
fig|82301.12.peg.421	0.5	1.35	8.23	19.17	88.66
fig|82301.12.peg.422	2.5	1.44	14.29	33.77	49
fig|82301.12.peg.423	1.5	0	4.61	19.61	27.02
fig|82301.12.peg.424	1	0.83	8.77	27.48	21.98
fig|82301.12.peg.425	0	0.5	2.25	3.08	21.42
fig|82301.12.peg.426	0	0	0	0	0
fig|82301.12.peg.427	0	0	0.66	1.95	3.44
fig|82301.12.peg.428	0	0	0.09	2.11	3
fig|82301.12.peg.429	0.5	0	2.41	19.12	11
fig|82301.12.peg.43	0	0	0	5.52	35.44
fig|82301.12.peg.430	0	0	5	10.96	43.28
fig|82301.12.peg.431	0	1.5	2	5	26.75
fig|82301.12.peg.432	0.5	2	1.5	18.77	20.98
fig|82301.12.peg.433	0.5	11.5	5.02	10.91	67.26
fig|82301.12.peg.434	1	0	6.55	16.64	18.89
fig|82301.12.peg.435	0	0	0.99	7.17	22.32
fig|82301.12.peg.436	0.5	1.5	3.5	14.41	19.77
fig|82301.12.peg.437	0	0.5	3.24	5.7	21.38
fig|82301.12.peg.438	0	1.81	0.5	3.69	15.15
fig|82301.12.peg.439	6.5	1	32.91	57.14	66.84
fig|82301.12.peg.44	0	0.9	3.5	8.29	26.37
fig|82301.12.peg.440	0.5	2	2.5	12.37	13.69
fig|82301.12.peg.441	1	4.59	2	14.73	66.68
fig|82301.12.peg.442	0	0	1	4	7.75
fig|82301.12.peg.443	0	6	3	11	72.17
fig|82301.12.peg.444	0	0	0.04	3.06	8.69
fig|82301.12.peg.445	0	0	0.5	1	6.71
fig|82301.12.peg.446	0	0	0	0	10.08
fig|82301.12.peg.447	0	0	0.7	0.62	5.82
fig|82301.12.peg.448	0	5.67	10	48.32	120.9
fig|82301.12.peg.449	1	1.16	23.23	57.19	181.27
fig|82301.12.peg.45	0.32	0	1.5	11.49	31.72
fig|82301.12.peg.450	0	4	18	51.97	155.1
fig|82301.12.peg.451	1	0	11.82	34.72	59.16
fig|82301.12.peg.452	2	2.5	6.5	17.15	55
fig|82301.12.peg.453	0	1	0	2.44	8.47
fig|82301.12.peg.454	0	0	0	0.15	2.28
fig|82301.12.peg.455	1.63	2.5	12.88	40.55	34
fig|82301.12.peg.456	0.5	2	3.43	27.9	259.07
fig|82301.12.peg.457	3	0	21.58	53.13	33.24
fig|82301.12.peg.458	0	0	0.04	3.97	3.25
fig|82301.12.peg.459	0	0	0.01	1.98	8.21
fig|82301.12.peg.46	1	5	7	30.53	97.18
fig|82301.12.peg.460	0	0	0.07	1.92	7.65
fig|82301.12.peg.461	0	0	0.05	1.12	2
fig|82301.12.peg.462	0	2	0	3.5	4.08
fig|82301.12.peg.463	0	0	0	1.5	0.83
fig|82301.12.peg.464	0	0	1	6.02	9
fig|82301.12.peg.465	0	0	1.44	0.02	0
fig|82301.12.peg.466	1.9	3	10.5	31.91	29.68
fig|82301.12.peg.467	0	0	0.31	1.75	9.51
fig|82301.12.peg.468	0	0	0	1.44	3.84
fig|82301.12.peg.469	0	1	4.5	16.08	49.96
fig|82301.12.peg.47	0	0.68	3.49	17.33	27.8
fig|82301.12.peg.470	0.5	1.9	2	7.83	49.31
fig|82301.12.peg.471	1.5	0	8	34	38.02
fig|82301.12.peg.472	0.5	0	3	10.19	50.61
fig|82301.12.peg.473	0	1	10.07	26.6	41.93
fig|82301.12.peg.474	0	0	1.82	5.88	12.99
fig|82301.12.peg.475	0	0	0	0.83	1.82
